X,RamDA_mESC_48h_A04,RamDA_mESC_48h_A05,RamDA_mESC_48h_A06,RamDA_mESC_48h_A07,RamDA_mESC_48h_A08,RamDA_mESC_48h_B01,RamDA_mESC_48h_B02,RamDA_mESC_48h_B03,RamDA_mESC_48h_B04,RamDA_mESC_48h_B05,RamDA_mESC_48h_B06,RamDA_mESC_48h_B07,RamDA_mESC_48h_B08,RamDA_mESC_48h_B09,RamDA_mESC_48h_B10,RamDA_mESC_48h_B11,RamDA_mESC_48h_C01,RamDA_mESC_48h_C02,RamDA_mESC_48h_C03,RamDA_mESC_48h_C04,RamDA_mESC_48h_C05,RamDA_mESC_48h_C07,RamDA_mESC_48h_C08,RamDA_mESC_48h_C09,RamDA_mESC_48h_C10,RamDA_mESC_48h_C11,RamDA_mESC_48h_C12,RamDA_mESC_48h_D01,RamDA_mESC_48h_D02,RamDA_mESC_48h_D03,RamDA_mESC_48h_D04,RamDA_mESC_48h_D05,RamDA_mESC_48h_D06,RamDA_mESC_48h_D07,RamDA_mESC_48h_D08,RamDA_mESC_48h_D10,RamDA_mESC_48h_D11,RamDA_mESC_48h_D12,RamDA_mESC_48h_E02,RamDA_mESC_48h_E05,RamDA_mESC_48h_E06,RamDA_mESC_48h_E07,RamDA_mESC_48h_E08,RamDA_mESC_48h_E10,RamDA_mESC_48h_E11,RamDA_mESC_48h_E12,RamDA_mESC_48h_F01,RamDA_mESC_48h_F02,RamDA_mESC_48h_F03,RamDA_mESC_48h_F04,RamDA_mESC_48h_F05,RamDA_mESC_48h_F06,RamDA_mESC_48h_F07,RamDA_mESC_48h_F08,RamDA_mESC_48h_F09,RamDA_mESC_48h_F10,RamDA_mESC_48h_F11,RamDA_mESC_48h_F12,RamDA_mESC_48h_G01,RamDA_mESC_48h_G03,RamDA_mESC_48h_G04,RamDA_mESC_48h_G05,RamDA_mESC_48h_G06,RamDA_mESC_48h_G07,RamDA_mESC_48h_G08,RamDA_mESC_48h_G09,RamDA_mESC_48h_G10,RamDA_mESC_48h_G11,RamDA_mESC_48h_G12,RamDA_mESC_48h_H01,RamDA_mESC_48h_H02,RamDA_mESC_48h_H03,RamDA_mESC_48h_H04,RamDA_mESC_48h_H05,RamDA_mESC_48h_H06,RamDA_mESC_48h_H07,RamDA_mESC_48h_H08,RamDA_mESC_48h_H09,RamDA_mESC_48h_H10,RamDA_mESC_48h_H11,RamDA_mESC_48h_H12
Espl1,1.453323812,0.607806406,1.02873104,0.956653921,0.176092029,1.045781211,0.928951177,0.581454172,1.253252183,0.935313252,1.004960042,0.724223882,0.925294722,0.773486071,1.235859509,1.148086908,0.582199534,0.623949249,1.111615274,0.595640173,1.600365279,1.046465011,1.486949343,0.678625882,1.083211765,0.822962776,1.038842261,1.387502208,1.430841984,1.190773464,0.772331519,1.564428533,1.772028979,1.418867464,1.606589193,1.07744738,1.00009682,0.859899687,0.793089843,1.504298796,1.048758814,0.947228681,1.348276749,1.03865373,1.004947809,0.846898494,0.997652402,0.865674969,1.074495031,1.264883519,0.921305504,1.4104697,1.053968986,0.633552968,0.9582828,0.770418545,1.007045314,1.043125552,1.535176586,1.458631646,0.765139997,1.125914689,1.00126648,1.145578098,1.326588987,1.19995931,0.89140532,0,1.549583769,0.154249488,0.910292859,1.368604351,0.553907898,1.146241103,0.665586273,1.055468551,1.29110787,1.331333657,1.267883863,1.063814792,0.19342346
Esrra,1.173898807,1.035990804,0.360231691,0.655122145,0.452208657,0.562403702,0.444336493,0.273097975,1.193960065,0.367014421,0.899143671,1.13712939,1.090335226,1.344110993,0.70843744,1.149971556,1.991333676,1.465579407,1.442942657,0.839837191,0.573485068,1.383633641,1.951104551,0.549616703,1.135603156,1.276682275,1.268650054,0.949638884,1.553812792,1.178248638,1.378948923,0.853862726,0.567758352,1.099105437,0.713790298,1.180341991,1.243368676,2.041446937,1.630939877,1.295799366,0.859808163,0.284815529,0.454959211,1.068472777,0.386293939,0.962420904,1.190776032,0.720710061,0.82958543,0.808379424,1.048815594,1.318424664,1.752757487,1.14868681,1.343035828,1.192285292,1.169013195,1.4806252,0.713220247,1.997687961,0.449369924,1.23036027,1.212769671,0.756684342,0.77493375,0.266452007,1.503176713,1.082021946,1.493122367,1.854450989,0.493644308,0.7919399,0.907489159,0.985322936,0.982837084,1.442560812,1.693184362,1.013397434,0.481322089,0.812652289,1.933155931
Esrrb,0.011831476,0,0,0,0.126522848,0,0,2.269794613,0,0,0,0,2.131195301,0,0,0.685095242,0,0.374184699,0,0,0.437105947,0.482006995,0.196219566,0,0,0,0.087073469,0.035670038,0.24954714,0,0,0,0,0,0,0,0,0.125352433,1.770002831,0.107110675,0,0,0,0.016334149,0,0,0.014457932,0,0,0.062905423,0,0,0.009460801,0,0.309542919,0,0,0,0,0.509120286,0,0,0.425796334,0,0,0,0,0,0.041269034,0,0,0,0,0,0,1.08873823,0,0.058123318,2.711366483,0,0.960327674
Ets1,1.994809387,1.581578709,1.457276872,0.858819169,0,2.563786601,2.368586192,1.16033339,1.813396897,2.221957004,1.774806993,1.995449911,0.720367602,0.61241658,0.837464857,1.087555802,0.713636514,1.368082105,1.703330723,1.721112374,0.253603279,0.878595606,1.609395825,1.790290672,0.413497752,2.010258462,1.73129677,1.791133751,1.750062381,1.897424316,1.550654951,2.395398549,2.216512525,1.725097198,1.305705681,1.18609558,0.640689386,0.424893773,0.521530599,0.862829328,1.641989239,1.920053002,1.466930464,0.162148076,1.651248621,0.724587075,0.85351438,1.422347361,1.175086622,2.632447625,1.635280852,2.223089212,0.578245657,1.334478264,0.504785208,1.20416222,0.383528451,2.142191291,1.726464558,0.71694333,0.325086332,0.859694866,1.758304088,0.366807969,2.319656505,1.540000005,0.752839314,0.924264754,1.520382433,0.789550734,0.675971117,2.134526432,0.312688886,0.366230466,0.826657879,0.393017118,0.468189329,2.028875998,0.725523254,1.340552939,1.252724923
Etv1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187733772,0.094617493,0,0,0,0,0.068539079,0,0,0,0,0,0,0.173925231,0,0,0,0.314329785,0,0.550212577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094545084,0,0,0.134503594,0,0,0,0,0,0,0,0,0,0,0,0,0.023997134,0,0,0,0,0.164692572,0,0,0,0,0,0.092620382,0,0.073527519,0.142485561,0
Etv3,0.684323278,0.618011617,0.238703838,0.050439901,0.632550521,0.626677433,0.408551269,0.244045809,0.213843162,0.019112611,0.360683318,0.37504135,0.284280244,0.284346822,0.22321266,0.509532865,0.310925941,0.518105812,0.443136477,0.786763029,0.475140724,0.458660002,0.235779718,0.741583772,0.247568096,0.615979601,0.538839268,0.22483909,0.392115984,0.603561041,0.372195711,0.275202541,0.766836659,0.321846539,0.247447221,0.471898805,0.412711347,0.619402536,0.587667203,0.264550792,0.302813578,0.133008314,0.712184807,0.189945299,0.474820873,0.511359537,0.271994749,0.296419644,0.238829806,0.258895658,0.366244278,0.039988313,0.333912983,0.340904453,0.226951974,0.565045327,0.399729545,0.440603275,0.616677166,0.619299637,0.281242919,0.280676887,0.518418881,0.833760718,0.454540551,0.530056383,0.212275736,0.838445958,0.131358507,0.367087272,0.290139833,0.296556306,0.136017063,0.23300848,0.571387433,0.241898518,0.400863597,0.386928414,0.176079517,0.587029505,0.500216175
Etv4,0,0.053896794,0,0.073312538,0.017901594,0,0,0.10504594,0,0,0,0,0.996144055,0,0,0,0.075964326,0,0.024075725,0,0.197913106,0.692100733,0.571594018,0,0.119333366,0,0.59735329,0,0.278957084,0.178270535,0.220473711,0,0,0,0,0,0.516642657,0.845441747,0.239340917,0.0062138,0.077577517,0,0.062994268,0.18556529,0,0,0,0.966527597,0.237635022,0,0.185354927,0,0,0.232418368,0.121701264,0,0.147407261,0,0,0.294261216,0,0.015796781,0.055861112,0,0,0.01641385,0,0,0.299573522,0.055783844,0.312774701,0,0.270452243,0.009231355,0,0,0.104139729,0,1.172667775,0,0.804772515
Etv6,2.100584583,0.428501334,0.897645646,0.59500495,0.323399447,0.526483664,1.269681122,1.790958931,1.050069929,1.359254432,0.556924955,1.652318462,1.22517162,0.603502583,1.33849545,1.916383091,1.236976993,1.862259708,0.547210101,0.80325163,0,1.543188913,1.674592309,2.72622442,1.378618857,1.516794085,1.285569417,1.150904131,1.581842166,1.274935771,1.557620169,1.191318649,1.109355881,0.571760657,2.331935955,1.184500631,1.530546545,1.348886785,1.73905466,2.011975259,1.759176579,0.988893249,0.610032372,1.352274947,0.858187271,1.196535301,1.231775584,1.053418014,1.445519249,1.153388519,1.506180858,0.818125643,1.753519196,1.065048446,1.708851789,1.224282567,0.952104677,1.239346992,1.38696286,2.479627858,1.033541532,1.288219686,2.167141125,0.860614934,1.060268576,1.209604453,0.932039302,1.47548132,1.333593932,1.241164242,1.085081747,1.937262027,0.858781847,1.569993637,2.138145024,1.181448414,1.215751012,1.28432956,1.62830339,0.559732842,0.728977785
Ewsr1,4.02605542,3.461630386,3.722684279,3.800892171,3.086107743,3.599616604,4.008689337,4.175781223,3.988601092,3.71980305,3.891559014,4.024218782,4.237697016,3.61022426,3.661523104,4.001531325,4.075493166,3.989140782,4.510764433,3.951379871,4.779374118,4.057967003,3.991394177,4.065871944,3.870740032,3.545074902,3.994492815,3.400577078,4.48913236,3.72350051,4.024856396,4.173634975,3.892159139,4.152688271,4.15333073,4.14053441,4.020434159,4.329529946,4.115449273,4.020494176,3.937686784,4.169280223,4.132013798,4.008816013,3.808038768,3.19769302,3.588753067,3.48129251,4.073881344,3.635082509,4.216481621,3.748762731,3.687814824,4.207207705,3.858386628,3.594758432,4.273924504,4.166497356,3.576906979,4.387828323,3.981312704,3.598399442,3.641938468,3.990492124,3.925016613,3.968285966,3.853828068,3.411420795,3.637219816,3.427888954,3.855446033,3.700423747,3.521067407,3.717687842,3.804367217,3.451653992,4.133250901,3.816102682,3.754168836,3.612064164,3.79595588
Eya1,0,0,0.008870956,0,0,0,0,0,0,0.291923462,0.326892525,0.058318023,0,0,0,0,0,0.076845929,0,0,0.056060751,0,0.083924707,0.011998858,0,0,0.061570694,0.419458304,0.366438105,0,0,0,0.461626216,0,0,0,0,0,0,0,0.310387779,0,0,0,0.008026087,0,0.155388081,0,0.217004239,0.118290089,0,0.272431481,0.037461735,0,0.038980237,0,0,0,0.056250354,0.125092143,0,0,0,0,0.211981212,0,0,0,0.014805991,0.14070532,0.065982899,0,0,0.320491625,0,0,0.391619534,0,0.010153533,0.450764555,0
Ezh1,1.078155921,0.500833351,1.939755111,1.027557627,0.76687617,1.300222946,0.94396305,2.098620281,1.444056433,0.392741036,1.587329365,1.685603301,1.550778839,1.299220143,1.097636041,1.490170429,1.997524346,1.999760183,2.517004491,0.951874704,1.32692808,1.486662719,1.05662144,1.109330995,0.904061782,0.735882963,0.964168183,1.502123185,2.270811396,1.498931823,0.63069533,1.274714379,1.805754331,0.824618256,1.489275356,1.176750748,1.332868333,1.456541387,1.462943262,0.576413958,1.240416243,1.662199996,1.569214427,1.663853964,1.018019349,1.474733487,1.024266704,0.963005842,1.54105804,1.379389747,1.386195911,1.73371832,1.670440449,1.411318515,0.740245793,0.338750114,1.035477293,0.993051667,0.920030879,2.03078367,0.745652071,1.101113652,1.734638844,0.854429714,1.402614253,0.969535583,1.076313776,2.388543225,1.15382022,1.593198701,0.917512063,1.291850914,1.19215529,0.878623023,1.781119864,1.785221918,1.013755973,1.187937341,1.398242362,1.791522395,1.505576688
Ezh2,2.073030067,1.930586936,2.009072067,2.951622209,1.009811023,1.886643489,1.286265301,2.037455975,1.867683099,1.84594387,1.653445634,2.648485744,3.080834334,3.074871591,1.806301284,2.517286873,2.821800491,2.430837526,2.914506182,2.253656452,4.4208181,2.757325227,2.377314484,2.328364158,2.407827688,2.252917363,2.713153772,1.716986076,2.855798542,1.165278495,2.880771291,2.258265233,1.821806183,2.746304615,2.256794542,1.966620294,2.241640015,2.745480924,2.147111041,2.250174573,2.07138602,2.196975561,2.684235464,2.297845889,1.566105399,2.214525706,1.600594165,2.503662247,2.129726726,1.925014465,1.97108106,2.396062233,1.386087708,2.208025486,2.084748468,2.301369295,2.360480696,2.406753411,2.122218946,2.496255565,2.708686321,2.513018983,2.545675861,2.095313129,2.158622769,2.587233176,2.537755336,1.943879381,1.510709027,1.385094989,2.368359518,2.55578453,2.113263464,2.467429556,2.322235711,2.337401588,2.118215158,1.926270426,1.882899074,2.33725124,1.266805318
Fam129b,4.917548438,5.319209939,4.516656834,4.72775071,4.785351441,4.379815916,4.706282857,4.818832917,4.305990851,3.809623324,4.339404973,4.368844316,4.478333259,5.009036924,4.704110137,4.624227185,4.71496502,4.433477516,4.441525576,5.131005594,2.99269392,4.31081345,4.590184076,5.28919233,4.359364209,4.812822983,4.704166999,5.077961246,3.455432927,5.398632608,4.583441906,4.585732809,4.380820234,5.14751384,4.643447977,5.605305683,4.447089563,4.032281538,4.402172148,4.946770417,5.126566218,4.694086957,5.001427136,4.763552682,5.188924758,5.235571527,4.287721974,4.165423791,4.809376258,5.495831876,5.49541451,5.030702551,4.587948772,4.673968809,4.837828698,4.618853669,5.058317605,4.046589397,5.217676765,4.540615541,4.901302733,4.959112362,4.526391797,4.460459544,5.316410928,5.003197788,5.178688391,3.88995345,4.876679084,4.246503586,4.575716312,4.84387774,4.593110934,4.857162956,4.546096777,4.402476897,5.010119244,4.498117751,3.720316034,5.212029892,4.302778114
Fgf10,2.023978208,1.490342736,2.299551084,2.529227506,1.988514155,2.370034642,2.467791956,2.204511568,2.42955396,2.050396009,1.841919228,2.204067043,1.968345524,1.897512319,2.113324296,2.943217496,2.739977204,2.853295102,2.120447471,1.547515548,1.036196978,2.570391195,1.471784985,2.409627545,2.308817037,1.714209622,1.528711655,2.086428447,2.2376867,1.893396556,1.223272019,2.492644578,1.863299162,1.565263078,2.121234443,1.598239732,2.30105592,1.378438958,2.62794915,1.677048152,2.007789819,2.246628028,2.420490877,1.707824825,1.64146517,0.867476515,2.267216621,2.158091909,2.977788374,3.021811683,2.153788806,1.57847027,2.893431941,2.678003518,2.188747635,2.26058392,1.116229571,1.866242979,1.725701796,2.517788333,0.706230319,1.685673365,1.659134784,2.401783436,2.588581299,1.771154183,1.342606205,2.145171825,2.815189471,2.659304898,0.98406873,1.497229314,1.746482414,1.925273221,1.899171102,2.379369872,2.377647066,2.610929344,2.330491801,2.306136064,1.422856025
Fgf3,1.39619576,1.849703097,1.497746592,2.128551637,0.994597986,1.172505137,1.98613343,2.166753615,2.210260996,1.450544717,1.597596266,0.955893226,1.227769853,1.69063092,1.435967804,2.257202422,1.695867696,1.912021012,1.495037827,1.529682487,0.019092455,1.964057173,1.763626953,1.932994073,2.155126635,1.706043265,1.394635646,2.109373837,0.746056432,2.575974703,1.618087906,1.648691704,2.148763242,1.008869428,1.908502342,2.15641525,2.119763929,1.193793749,2.251893786,2.142199871,2.228790544,1.775581102,1.535489183,1.428507299,1.780323946,1.376808964,2.457396398,1.818610148,2.213824432,1.822786174,0.670225903,2.068115479,2.33302303,1.297770099,2.128667767,0.790756719,1.772418364,2.224546593,2.288039203,2.655181618,1.203279637,1.807429975,1.535689519,2.130926832,2.142820938,2.316696898,1.893319486,1.161131491,2.54313993,1.585780553,1.921563034,1.464729641,1.242031,1.582232418,2.583591482,2.360348923,2.267362155,2.687547969,2.196148848,2.307382098,2.268134438
Fgf4,0,0,0,0.406901696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.143812989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487751022,0.179223509,0.50673307,0,0,0,0,0,0.135977424,0.044860726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222114077,0,0.895470499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fgfr3,0.445289136,2.196255747,2.361007096,2.737924747,1.705437906,1.321572832,2.643394631,2.587107062,1.084234523,1.660774255,2.723580267,1.399007206,2.017816044,2.685215676,1.401827163,2.366805794,0.876350545,2.097147494,2.02545236,2.577541123,0,1.292752845,1.926718961,2.625319651,1.836729781,1.856446729,1.715136194,1.642735426,0.266769633,2.107008453,3.224205061,0.841627758,1.219910965,1.077826744,2.887686664,3.356826864,0.640509172,2.510865582,1.709915281,2.372024225,3.121163314,2.092443723,2.467270736,2.416756299,2.816976599,2.890623423,2.970668513,1.330039967,2.829425673,1.209731339,1.854548511,1.942960849,2.00411851,0.453819417,1.650625626,1.964670725,2.201249898,2.616326693,1.642787854,2.203698452,2.84820583,2.642680879,1.451157735,2.247925237,1.92943721,2.161788342,2.925339086,0.302279345,1.248474216,0.521153541,2.649068667,1.928851905,3.226252151,2.432521706,1.410783542,2.490470216,2.086876597,1.819120434,1.004530558,1.55658265,1.436605396
Fn1,1.591142214,1.547134364,1.97439212,0.902400104,1.23962965,2.17192955,1.99020218,1.446654754,1.246007228,2.153025239,0.616636768,1.883376648,0.786994244,1.32211154,1.855184741,1.379911001,1.672870717,2.265214628,1.311527868,2.430613794,1.36825519,1.655671917,0.551719062,3.207180713,1.311741923,1.456589661,1.486926212,2.635439693,0.317623001,2.496616926,2.047053151,1.988410021,1.181082435,1.563932982,0.659894949,2.738020315,1.391838932,0.600513134,0.720186279,1.784015592,1.311420872,3.232961835,1.033429303,1.194012253,2.455182813,1.796585333,1.536762913,1.53849965,2.15238606,1.305474657,3.121016243,1.561869991,2.415269983,1.242423717,1.321320179,1.625600868,1.541422915,1.666405629,2.706979536,2.021904429,2.33535263,1.020008622,1.398414624,2.760494588,1.314185777,1.645229104,2.063182176,0.559918095,1.652378175,1.656313229,0.982757987,1.871282626,1.923928327,1.594446646,1.759425878,1.455517287,1.576937968,2.317039727,1.467596213,1.058837699,0.815500028
Fosl2,0.782667946,1.181051787,0.454415749,0.405741621,0.324481601,0.40208182,0.84687324,0.720269275,0.559161455,0.277280459,0.188704677,1.067606276,0.034977166,0.562702505,0.809640655,0.095015496,0.462839282,0.262542441,0.943923022,0.645710267,0,0,0.052225322,1.056052214,0.308848756,0.691649093,0.06425752,0.780567999,1.135574335,1.190557572,0.837832483,0.045393335,0.755231359,0.776099609,0.883372213,0.773814987,0.413404888,0.882715208,0.328600403,0.460005159,0.573295932,0.502327197,0.466609841,0.185010322,0.482291187,0.667547064,0.629160756,0.022448148,0.227021686,0.8927899,1.587544014,0.659592183,0.589484488,0.145004417,0.207959597,0.762701031,0.29782286,0.706285855,0.299878462,0.156137368,0.757663496,0.712917598,0.69076842,0.666756572,0.357154771,0.309253921,0.891335695,1.260760699,0.426054389,0.5228506,0.454791604,0.488188955,0.243747929,0.842070931,0.649506279,0.603984154,0.358541326,0.517705276,0.291577321,0.441635489,0.330974709
Foxa2,1.427318651,0.685922763,1.023069307,1.210980537,1.011304558,1.250098764,1.138788088,0.943972223,1.102235673,0.686273444,1.543552261,0.743849885,0.456910164,1.141913147,1.126337893,1.14202056,0.513734833,0.789221846,1.677953118,2.126146145,0,0.528902344,1.431552615,1.775139234,0.727981252,1.51960647,0.824378904,1.699685117,1.098035297,1.578184253,1.212045233,0.965736642,1.459965605,1.573262852,1.083395635,1.497811251,1.144262957,0.893970305,0.902018996,1.107674106,1.201640323,1.060007188,1.391029187,1.468989359,1.193058517,0.759679679,1.04516004,0.787690748,0.92117261,1.329403352,1.386919316,1.470352699,1.241167751,1.697731238,1.038419419,1.268315577,1.572243028,1.941857293,1.431409846,1.078371217,1.405238478,1.297969815,1.619471015,1.51769502,1.309097562,1.422661355,0.821668838,1.078626517,0.862843514,1.249522042,1.199337206,1.279968083,0.471087146,1.665836918,1.666635508,1.144268144,1.536056333,0.757165374,0.801879814,1.215766137,0.851085284
Foxd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015784261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034076565,0,0,0,0,0,0,0,0,0,0
Foxh1,0.123373356,0.02627843,0.107793898,0.206917906,0.09972341,0.108838441,0,0.451619846,0.0338569,0.056051886,0.251474434,0.271931547,1.308340551,0.110025521,0.057730827,0.273490003,0.200277119,0.586540883,0.128395422,0,1.113156055,0.96633663,0.070709563,0.211101027,0.820006498,0.159550368,1.517018052,0.175640983,0.424187451,0,0,0.120505393,0.155599493,0,0,0.143478085,0.855318449,0.578236926,0.960590516,0.504384986,0.832296519,0.583327015,0.456343468,0.49722355,0,0.530648334,0.338560104,0.147764277,0.552295713,0.186877784,0,0.170230871,0.537807586,0.034553501,0.446847671,0,0.181761164,0.230705021,0.035631164,0.997746965,0.075344236,0.532661852,0,0,0,0.087730201,0.106133386,0,0.116228077,0.133851564,1.347998231,0.215396513,0.811490414,0.475228332,0.215441077,1.124850882,0.077136673,0.117534141,0.882787921,0.144375216,0.829253236
Foxo1,0.834520961,0.496704993,0.201245455,0.413256601,0.251878755,0.595096821,0.491567858,0.595737708,0.652067205,0.497531151,0.686203134,0.53105657,0.417930171,0.485908219,0.359630008,0.188966114,0.112147847,0.343267941,0.756239611,0.502146372,0.431454814,0.314384803,0.177953749,0.488030731,0.241979108,0.295229051,0.282536131,0.471820254,0.424117462,0.812020124,0.32419518,0.718125253,0.735230964,0.805472113,0.809719419,0.533515346,0.223910305,0.319704637,0.502756747,0.304434215,0.620011055,0.41978015,0.554850823,0.235609601,0.703576669,0.386531291,0.187014329,0.310369278,0.368145414,0.729750168,1.063385145,0.834493133,0.424350076,0.741596575,0.07873377,0.540073678,0.444431274,0.698850174,0.819462978,0.592195631,0.41427033,0.442339053,0.44110996,0.41974957,0.665852295,0.741413307,0.588970675,0.710245096,0.276577583,0.196774582,0.299723061,0.844004981,0.243911602,0.547542192,0.643669465,0.365315932,0.432291262,0.26573142,0.373603406,0.623807099,0.340656928
Foxo3,1.97369095,2.467319287,2.355743858,1.363731159,2.203703355,2.478774459,1.602472481,2.750966934,2.512942242,1.261067667,1.435281356,1.746563567,2.848670867,3.0681258,1.72918771,2.829601455,2.932686251,1.677849591,1.625081501,2.734523317,2.502028064,2.92755217,2.383794769,1.882903209,2.460199806,1.31428618,1.870650461,1.195011842,1.841305459,1.854465016,2.703943555,1.082167959,3.007301574,1.952800972,2.285670821,1.377885528,2.330272312,2.592031606,1.694733434,0.74824637,1.907487677,2.242010066,1.644461123,1.998461749,2.045520425,2.531437078,1.138864574,1.768906605,2.01438479,2.084523496,2.535102833,1.346274083,1.764524372,2.178712715,1.722458853,2.213195382,1.766585901,2.472589367,2.59238042,1.277991691,1.637160608,2.261287742,2.07895771,2.313679022,1.399526476,1.129709391,1.757099376,1.691119275,1.503696548,2.251245411,2.307278181,2.402319307,2.548151572,2.074800438,1.21608526,1.22175908,1.11216134,1.604952734,1.202122585,2.793902057,3.5753725
Fst,2.238747302,1.958861116,0.848248783,0.720325722,2.309926901,2.060072847,0.851657861,2.613575614,1.36178312,0.267575292,0.47068242,0.94202863,0,0.180496244,1.977903028,3.066533831,0.492658197,1.34335144,1.602103833,1.396305768,0,0.361162833,3.61E-08,0.472908661,1.551316509,1.547940128,2.70E-09,2.8079953,1.816849787,2.512824579,1.344452063,2.109289891,2.390965088,1.341516923,2.451644653,0.826762626,0,0,1.837332884,0,1.275655037,0.641007221,1.815812154,0.285749646,3.167585591,0,0.551236068,1.997608315,4.59E-08,3.124565875,1.358230362,1.559688712,1.702984575,1.85144507,0.846857543,1.362451274,0.461883029,0.608669054,2.496691606,3.69E-09,0.662136356,1.393228544,3.411126076,4.327629693,2.288744866,2.427526074,0.87180766,0.69923544,1.969653306,1.322015569,0.239808885,0,0,0.320843881,1.226373358,2.60226594,0.367055145,0.726665303,1.434325893,1.407759439,2.34076919
Fus,4.518684262,3.982616092,4.299547037,4.435375856,4.203246116,4.46038882,3.856373035,4.306607147,4.207137279,4.27591503,4.608518744,4.542508432,4.291166283,4.265736064,3.921632057,4.51044903,4.686190645,4.227356525,3.551255975,4.094025277,4.499738772,3.688838081,3.799636333,4.471471194,4.486572394,4.435842815,4.504105647,4.263380217,4.505044486,3.706658211,4.178146219,4.134203803,4.308678166,4.376725478,4.056030638,3.799319389,4.676633963,4.761566149,4.871649539,4.130366515,4.007679902,4.588382546,3.972538891,4.138315646,4.125312301,4.197210876,3.959593308,4.535513533,4.173659992,4.005966998,4.239866986,3.689341237,3.949497883,4.01168496,3.772757749,4.054053892,4.120066614,4.264528967,4.249919764,4.017024945,4.17193251,3.779246862,4.064444787,4.381779161,4.218214842,3.954275642,3.848541552,4.03192527,3.804192945,3.804675477,4.297933066,4.374538901,4.440729038,4.435062305,3.860311354,4.047494722,4.32941775,4.602472818,4.428260666,3.73569918,4.022332532
Fxr1,1.883375641,1.641851896,1.663200844,2.078988916,1.352075234,1.751524817,2.452055241,2.166063956,1.877015849,1.356690395,1.848698445,1.604256559,2.093776804,1.850758381,1.842413932,1.834065064,2.15384846,1.830430531,1.95067072,1.779798159,3.613073108,1.635879112,1.765411655,2.031905602,1.133554631,1.53535411,1.716299821,1.496562024,1.598962264,1.450355283,0.959679261,2.48473884,2.078639397,2.015372158,1.687192543,1.800139436,1.995416315,1.43174607,1.568682028,1.72946045,1.414825108,1.694923568,2.400656149,1.784412407,0.694460509,1.6678433,1.725621375,2.195284287,2.005329847,1.768934883,1.506992581,1.760143251,1.866450803,1.676349817,1.122745931,2.064479486,1.959782014,2.083972171,2.259071963,2.468809433,1.374958361,1.006030295,1.66015777,1.29226589,1.856137643,2.277947033,2.315385706,1.108154143,1.290749128,2.168518994,2.102473108,1.831257703,1.828036429,2.389998834,1.639689293,1.230908288,2.0631045,1.811764548,1.461719809,1.785508876,1.886084291
Fxr2,2.130654216,1.758910439,1.55278108,2.628851652,2.316242441,1.535723238,2.068564423,2.338551231,2.109097749,2.553235963,2.184466016,2.586453794,2.394081436,2.092437506,1.930406745,2.649719087,1.940906456,2.419519662,2.355041503,2.51321402,3.599669051,1.899405934,2.280871177,2.029903344,2.638855412,1.558571365,2.037702036,1.752806188,2.087525663,2.180620975,2.034246565,2.277616396,2.474091743,2.213255262,1.748773578,2.441099427,2.353340658,1.923615496,2.845958782,2.58269184,2.290440636,2.401964578,3.1157474,1.811711314,2.461334089,2.490866396,2.534986219,1.800203324,1.483619794,2.304804431,2.239946039,1.885070168,1.756201174,2.703905189,2.558960197,2.78883948,2.067501283,2.247686579,2.359423473,2.490476274,2.800767329,1.967292278,2.177601852,2.029975872,2.114930086,1.866424924,2.325941029,1.960547493,2.346469275,2.327180733,1.725575309,2.2926474,1.719631119,2.477084387,2.534425696,1.625478294,2.183847199,2.782400505,1.996695634,2.513696473,2.526551532
Gas6,1.041864015,0.561369092,1.818581953,2.459046996,0.092399915,0.77832464,0.71494685,1.094846475,1.645552956,1.148864479,0.611606704,1.117271665,1.113224055,1.364376764,1.638305637,1.80170323,1.793894255,1.946890971,0,0.770002608,0.302987908,1.319961467,2.472393074,2.112739988,2.130196063,1.338267488,2.770223253,0.1630487,0,0.505644235,1.293764163,0.786262758,1.09183212,0.712058418,1.043898154,1.395476634,2.319619311,1.556759203,1.924373458,1.904721076,2.335581512,1.963178643,1.865275628,2.292208246,0.068516329,0.701015755,1.902168831,1.922539254,3.013989586,0.703465976,0.525451704,1.459761488,2.095655371,1.783174388,2.336081504,0.696688429,0.529245653,1.315072002,0.23059726,2.140391482,1.496148071,1.318299934,2.907031423,0.178237185,1.291013791,1.245698515,0.556157491,0.506479249,1.005742217,1.501141645,2.112210714,0.521871721,1.655320458,1.491745182,0.20018881,1.670184139,1.275746026,2.055672019,0.746165739,1.814315397,2.707059522
