X,RamDA_mESC_24h_A04,RamDA_mESC_24h_A05,RamDA_mESC_24h_A06,RamDA_mESC_24h_A08,RamDA_mESC_24h_A09,RamDA_mESC_24h_A10,RamDA_mESC_24h_A11,RamDA_mESC_24h_A12,RamDA_mESC_24h_B01,RamDA_mESC_24h_B02,RamDA_mESC_24h_B03,RamDA_mESC_24h_B04,RamDA_mESC_24h_B05,RamDA_mESC_24h_B06,RamDA_mESC_24h_B07,RamDA_mESC_24h_B08,RamDA_mESC_24h_B09,RamDA_mESC_24h_B10,RamDA_mESC_24h_B11,RamDA_mESC_24h_B12,RamDA_mESC_24h_C01,RamDA_mESC_24h_C02,RamDA_mESC_24h_C03,RamDA_mESC_24h_C04,RamDA_mESC_24h_C05,RamDA_mESC_24h_C06,RamDA_mESC_24h_C07,RamDA_mESC_24h_C08,RamDA_mESC_24h_C09,RamDA_mESC_24h_C10,RamDA_mESC_24h_C11,RamDA_mESC_24h_C12,RamDA_mESC_24h_D01,RamDA_mESC_24h_D02,RamDA_mESC_24h_D03,RamDA_mESC_24h_D04,RamDA_mESC_24h_D05,RamDA_mESC_24h_D06,RamDA_mESC_24h_D07,RamDA_mESC_24h_D08,RamDA_mESC_24h_D09,RamDA_mESC_24h_D10,RamDA_mESC_24h_D11,RamDA_mESC_24h_D12,RamDA_mESC_24h_E01,RamDA_mESC_24h_E02,RamDA_mESC_24h_E03,RamDA_mESC_24h_E04,RamDA_mESC_24h_E05,RamDA_mESC_24h_E06,RamDA_mESC_24h_E07,RamDA_mESC_24h_E08,RamDA_mESC_24h_E09,RamDA_mESC_24h_E10,RamDA_mESC_24h_E11,RamDA_mESC_24h_E12,RamDA_mESC_24h_F01,RamDA_mESC_24h_F02,RamDA_mESC_24h_F03,RamDA_mESC_24h_F05,RamDA_mESC_24h_F06,RamDA_mESC_24h_F07,RamDA_mESC_24h_F08,RamDA_mESC_24h_F09,RamDA_mESC_24h_F10,RamDA_mESC_24h_F11,RamDA_mESC_24h_F12,RamDA_mESC_24h_G01,RamDA_mESC_24h_G02,RamDA_mESC_24h_G03,RamDA_mESC_24h_G04,RamDA_mESC_24h_G05,RamDA_mESC_24h_G06,RamDA_mESC_24h_G07,RamDA_mESC_24h_G08,RamDA_mESC_24h_G09,RamDA_mESC_24h_G11,RamDA_mESC_24h_G12,RamDA_mESC_24h_H01,RamDA_mESC_24h_H02,RamDA_mESC_24h_H03,RamDA_mESC_24h_H04,RamDA_mESC_24h_H05,RamDA_mESC_24h_H06,RamDA_mESC_24h_H07,RamDA_mESC_24h_H08,RamDA_mESC_24h_H09,RamDA_mESC_24h_H10,RamDA_mESC_24h_H11,RamDA_mESC_24h_H12
Fn1,1.904613892,3.892294754,1.733339199,2.702541,2.558810288,2.074804942,1.875468606,1.666066703,1.5448911,2.94004714,2.379415432,2.393096737,2.835778157,2.010341108,2.837103018,1.724170702,2.284016091,3.28334487,2.1663975,1.702081944,2.171555061,1.624088769,0.53635476,3.054693605,3.757188113,1.927853695,2.584635496,1.920019736,2.706805504,2.159113317,4.366390834,2.396571214,2.047568672,1.840224004,1.713005353,2.485688733,2.9564909,2.83301834,2.585167598,1.782022307,2.161949113,2.621951569,2.254942336,3.177506051,1.902807173,2.887850899,2.339536568,2.425705488,3.458864693,1.393464605,2.379385137,2.368191241,2.668879624,2.083151691,1.806170087,2.904417785,1.91950219,3.64937132,3.128870505,1.624574852,1.331187407,4.905110168,2.921261731,3.04884264,2.225411099,2.580820857,2.698031739,2.419377497,2.803526876,2.737647057,3.199699231,1.869026468,1.225748414,3.358951738,2.081583487,3.09516198,2.319098283,2.553308902,3.613652352,3.513924553,1.928074558,3.655510232,2.147497842,2.175782945,2.236075496,2.519478925,1.644582162,1.419114193,2.322329589,1.959527074
Fosl2,0.116229147,0.02073727,0.029792461,0.325396296,0.025965587,0.059625325,0.230510073,0.403988381,0.088375059,0.301412815,0.112181958,0,0.072660202,0.094987121,0.245060874,0.027381596,0.116119946,0,0.085618122,0.204791111,0.130248018,0.099354154,0.552748557,0.023775643,0,0,0.292452284,0.143153653,0,0,0.35067329,0.399433154,0.37479514,0.167378591,0.073551695,0.307705482,0,0.01420045,0.031662954,0.233367027,0,0.035067912,0.05616626,0,0.111251097,0,0.200327382,0.019707326,0.012597592,0.084611238,0.273766345,0.009947859,0.023097813,0.096277377,0.040894868,0.368722283,0.098981894,0.006548764,0.147704737,0.11484823,0.086216139,0,0.032722607,0.194967773,0.158308838,0.10957731,0.118424516,0.100365343,0,0.13283757,0.217269478,0.100834122,0.327982203,0.045863178,0.104810585,0.141489292,0.16018007,0.181463254,0.059040958,0.020366654,0.168703128,0.09241836,0.224791687,0.171669243,0.272882242,0,0.016031247,0.220269479,0.259850327,0.027511213
Foxa2,1.651195845,0.586569748,1.053877677,1.001484686,0.865957047,1.07387859,1.484147943,0.730883905,0.931158466,1.188895109,1.161657596,0.500680024,0.699963807,1.866371056,1.151174073,1.299344278,0.999559012,1.114730309,0.825307222,0.86954343,1.308631311,0.877510995,0.924507281,1.475562331,0.061729681,1.03523675,0.392635486,1.202441691,1.392148021,0.8331867,0.933812052,1.10616294,1.377487456,0.735499064,0.596572783,1.100021106,1.164889271,0.792559879,1.533775142,1.163325793,0.802118191,1.212636046,0.944971399,0.627418086,1.092890906,1.567099845,1.017828384,0.842667487,1.232987846,0.865493281,0.458043099,0.757144773,0.884959278,0.498518728,1.162836562,1.590999177,1.394098794,0,1.165015304,0.472991776,0.947429662,0,0.669859106,0.97974198,0.935711179,1.281427244,1.698975011,1.099268239,1.970492813,0.841104602,1.207735245,1.174708863,0.915298996,0.439824953,0.840296338,1.339142381,1.688737544,1.544311542,0.798557396,0.743817149,1.150745422,1.230726894,0.649538197,0.566351577,1.236382802,1.573598611,0.903843563,0.95776307,1.317698207,1.515844681
Foxd3,0,0,0.021199726,0,0,0,0,0,0,0.092152318,0,0,0,0,0,0,0.019105797,0,0.020710947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019362132,0,0,0,0,0,0,0,0,0,0,0,0,0.041343419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxh1,1.150231966,1.152629297,1.593948027,1.144282326,1.668031777,0.983665018,1.955137181,1.007379381,0.42305298,1.685761081,1.052660758,1.521282529,1.452206613,0.680600178,0.544697595,1.069128812,1.399872068,1.224662094,1.584788163,1.856949326,0.926948051,1.544325288,0.636210122,1.91168679,1.189897459,0.760798182,1.386614119,1.76091231,1.340463042,1.031021683,1.614827916,0.752167337,1.806580515,1.58258208,1.179957876,1.552779721,1.074998934,1.118235119,2.266026886,0.640661156,1.822915543,0.906367025,0.822045076,1.714235001,0.712507399,2.011649068,1.501163718,1.569459566,1.324930922,1.36359024,0.66231961,1.294952164,1.369311306,1.315589025,0.688904498,1.231016923,0.95140893,1.776096437,0.432685336,0.608688545,1.106934456,0.942124065,0.860113787,0.44638027,1.636737647,2.133330606,0.860590509,1.29627884,0.894932527,0.028117944,1.483598558,1.770475635,1.635803368,1.856766975,1.667841006,0.98862595,0.782471204,0.935313422,1.503608548,1.364760627,1.165689306,2.179225575,0.569756645,1.780823811,1.117676393,1.116473405,0.365341687,1.267558528,1.717449285,1.267146833
Foxo1,0.537049632,1.109420172,0.677875129,0.517479044,0.268268691,0.558327639,0.75636299,0.771870254,0.420031528,0.791793968,0.571997795,0.290280784,0.415480439,0.272639041,0.669986697,0.767499548,0.333389674,0.495822088,0.706946687,0.479784538,0.569663366,1.006386442,0.182125443,0.58977029,0.752389686,0.443836776,0.599674388,0.37426211,0.953986838,0.80091208,0.392317624,0.719045789,0.281189611,0.522254148,0.269551897,0.390071721,0.581572102,0.428623382,0.682321266,0.532659249,0.747977872,0.854414905,1.048600408,0.386909378,0.749812688,0.799142423,0.786251606,0.395092454,0.545506473,0.819320226,0.986832513,0.272061698,0.542357565,0.502130987,0.673952718,0.465325911,0.460051391,0.574035638,0.778968027,0.641487292,0.577157404,0.465741597,0.339635197,0.603560629,0.823653369,0.185399032,0.676562447,0.505099259,0.540170255,0.797732834,0.528917822,0.166636511,0.274256257,0.671750682,0.393750145,0.964309304,0.583431501,1.110658174,0.538890456,0.864748542,0.402624359,0.264733095,0.573106376,0.230210391,0.501977477,1.016916845,0.427403854,0.365921225,0.449447866,1.031506407
Foxo3,0.601365421,1.524977546,2.619636242,1.301572252,1.68324139,1.840692503,1.057878849,1.813800778,2.054591353,0.985220114,1.471991522,1.870497082,1.239048731,0.547487183,1.67490723,2.027835206,1.729938961,2.300641386,2.169322268,0.719868564,1.897488283,1.155444846,1.352282266,1.641143094,1.63754578,1.347186738,2.05809762,2.527294324,2.222107361,2.206305897,2.206318131,1.452239607,1.917137056,1.219854722,1.857894456,1.499573496,2.032489246,2.241298437,2.582044717,1.225824117,2.022607111,1.922863847,1.985597107,2.681670941,1.73457043,1.880556971,1.945584502,2.082575105,2.06891773,1.734910501,2.292329786,2.274920848,1.760425327,1.737270776,1.147457206,1.816222608,1.774454485,2.719187343,1.260870371,2.012751668,1.671197619,1.554093281,1.82652929,1.210000228,1.399378714,1.331318853,2.480986693,2.209529958,1.874132054,1.728066338,2.065413701,0.812152199,1.957173349,1.593879412,3.009413339,1.64236223,1.007916217,1.944997136,1.482338165,1.476432894,1.838461877,1.124382828,1.68806266,2.022403326,2.165702352,2.725610569,2.435508542,1.554927013,1.40614514,1.643384704
Fst,0,0,9.11E-09,0,0,0,3.85E-09,0.470218441,0.291442215,0,0,0,0,2.39E-09,0,0,6.49E-08,0,0,2.25E-08,0.38388347,0,1.038748908,0,0,0.163214536,0.896495884,0,1.87E-08,0.841513331,0.27155176,0.100502526,0,0,0.229409489,0,0,0,3.67E-09,0.091345394,6.09E-08,0.178044322,0,0,0,1.037348679,0,1.53E-08,0,0,0,0,5.38E-08,2.57E-08,9.31E-09,0.293069805,0.420969697,0,0.399321779,6.07E-08,4.15E-09,0,0,2.21E-08,0.3705882,0,9.91E-09,0,0,0,0.312605529,0,2.87E-08,0,0,1.482044047,0,0,0,0,0,0,4.35E-07,0,0.5579969,0,0,0,0.061928954,7.22E-08
Fus,4.483465223,3.822439213,4.857115226,4.406072089,4.327342676,4.175359526,4.155294227,4.239220643,4.157233861,4.481445489,4.394563889,4.538829967,4.611746185,4.808481981,4.543108609,4.428123097,4.210024233,4.717628251,4.032630584,4.998555798,4.073653606,4.464067474,4.21479392,4.440433513,4.920873087,3.883161628,4.32694232,4.520913053,4.420854974,4.282427772,4.821761857,4.561261315,4.77995239,4.502817522,4.559737063,4.674498854,4.396401015,4.313510049,4.618430035,4.214668926,4.265496857,4.617030004,4.516472468,4.619678305,5.091053216,4.304985966,4.669293877,4.745475043,4.229217177,4.582290426,4.157874028,4.337046708,3.942174972,4.27483328,3.933132384,4.737842093,4.995086771,4.749972933,4.3467086,4.601390294,4.600339187,4.740334051,4.76745049,4.316405874,4.642512503,3.859256035,4.415441485,4.617461914,4.612034076,3.799184353,4.271651557,4.808343493,4.847133936,4.093202125,4.515964786,4.431914076,4.149729955,4.406394188,4.460828435,4.584853984,4.784015234,4.565374582,4.394013953,4.593083186,4.622061839,4.300357946,4.139210795,4.236214979,4.587300176,4.769559638
Fxr1,1.117962588,2.41200294,1.618997104,1.864308279,2.420487458,1.988642429,2.207372283,2.193660284,1.747174595,1.645348952,1.912597466,1.213130073,2.350407749,2.206928077,1.918403229,2.050203494,2.10897573,2.373822244,2.045272772,2.288530387,1.719119591,2.060540624,1.786300851,1.351759509,2.364105575,1.914053307,2.095994116,1.938743298,2.402178903,1.575405116,1.512057407,2.269085233,2.279560296,1.792797375,1.759903595,2.443798495,2.171226534,2.19329488,2.149268688,1.950631739,2.351690916,2.248141124,2.247612469,2.454881011,2.682706938,1.445653863,1.875798645,1.748803465,1.985369514,2.46837263,2.197746024,1.604072418,2.103677715,2.431517094,2.171904794,2.126252834,1.951425719,2.174330297,1.971882412,2.408033447,2.762837788,2.225739955,1.790794225,1.890804566,2.276432975,2.158731781,1.832348779,2.003016295,2.482280402,1.830001738,2.126633061,1.557896179,1.729471631,2.156363447,2.016936192,2.345200261,1.681658735,3.066579123,1.833411277,2.087058872,1.807569661,2.060997914,2.289962084,2.175510358,2.397518121,2.678043488,2.227171114,1.924586931,2.636151367,2.188396724
Fxr2,2.511926751,2.667913873,2.740068902,2.781656707,3.098753834,2.451672585,2.433994891,1.95587619,2.921210083,2.227394954,2.494972053,2.543179738,2.948274082,2.433368403,2.397304859,2.979951436,2.824280661,2.751600097,2.124165334,3.12694987,2.597932746,2.68874963,2.59839203,3.175864699,2.096483181,2.238788641,2.632429008,1.973320987,3.033717545,2.324472381,3.038869899,2.39442976,2.343383882,2.126681442,2.559897473,2.96761775,2.548096841,2.242755361,2.754609045,2.907495266,2.380197982,3.134607098,1.883570974,2.581525454,3.01572617,2.482525417,2.346943992,2.454117116,3.129301635,2.254676835,2.955733452,2.916729567,3.049304408,2.386005847,1.988976455,2.821474735,2.739324821,2.912012636,2.228644361,2.809605882,2.428063745,2.726530653,2.780820794,2.46115552,2.619898854,2.26254632,2.361781371,2.689337164,2.970654847,2.082378811,1.895235088,3.050512686,1.985408771,2.678700713,2.543960383,2.395368939,1.958033965,2.238783288,1.996318628,2.990752966,2.568650956,2.714896331,2.563721935,2.98394497,1.804876138,2.269624288,2.12654567,2.776934584,2.696500055,2.878797396
Gas6,2.221223288,2.079721716,1.108497139,1.966561723,1.827893436,2.769519724,1.834201623,0.636324271,0.722062878,1.048530492,1.578118976,1.786149505,1.638865107,1.474283558,0.264681812,0.567626403,1.830171516,2.072341723,2.628721733,1.133460859,0.490121558,0.975410838,1.608286136,1.407736834,0.507223008,0.981529577,1.011681832,1.876896426,0.383903107,0.64389794,1.382729566,1.233353678,2.165138126,1.364916465,2.038809274,1.294026387,2.020775537,2.556487291,2.229215665,1.188236241,0.373881405,0.700950738,1.082098963,2.683189494,1.29204375,0.258747196,1.510875657,2.364139302,3.454906768,2.127532756,1.830930377,1.848721033,1.764848578,1.952549,0.886344214,1.66642638,1.708435017,0.701819057,1.447859088,1.766020246,0.670263892,0.431187431,2.36957794,1.771002816,1.016064297,2.461897817,0.415635331,1.878999725,2.838067481,2.176183254,1.6073423,1.85290983,1.802227045,2.473499044,0.684979494,0.952827622,1.406750352,1.006871957,1.140553429,1.85223802,2.211262441,0.998076833,0.796728177,2.325483153,2.544311737,3.180625381,0.893906932,1.767786002,1.913738575,0.544872796
Gata3,0.010046903,0,0,0,0,0.015132003,0.149061096,0.329936028,0,0.178862387,0,0,0,0,1.042755412,0.336475499,0,0,0.336250471,0,0.765659997,0,0.26818329,0.14498439,0.012979617,0,0,0,0,0,0.100131047,0,0.077981033,0,0,0,0,0,0.472650135,0.161209255,0.517742746,0.17846581,0.044453358,0,0,0.729529828,0.050757767,0,0,0.07978744,0.093279122,0.013793183,0,0.012258198,0.289806365,0,0,0,0,0,0.011057946,0,0.246402398,0.23711558,0,0,0.149027695,0,0.711550264,0.043670863,0,0,0,0,0.015374955,0.141615106,0.056140255,0.407142816,0,0,0,0.147440415,0.397132494,0.489841948,0,0,0,0,0.026421857,0
Gata4,3.908752351,2.559199367,3.9290212,3.71235384,4.03825166,3.696365054,3.423132786,3.912096501,3.93625866,3.91032449,3.99337291,3.131853585,3.548359442,3.711544446,3.718202553,3.824880635,4.108629791,4.395322158,3.804395047,3.535801862,4.011113239,3.583457451,3.803755808,3.614082059,0.362986057,4.167000805,3.556143678,3.726505001,3.644711267,3.931310547,3.074436798,3.649505349,3.29758387,3.7614708,3.378989643,3.552471903,3.618610723,3.847192642,2.987353669,4.178305939,4.169213179,3.395603583,3.51944665,3.737843935,3.644583898,3.448833936,3.806028889,3.714543525,3.116786465,3.877315338,3.828930209,3.407794518,3.472974917,3.740823079,3.472548151,4.00480595,3.623431683,1.339967695,4.231105304,2.962013897,3.591835925,0.719969917,3.708373334,3.639248392,3.876981726,3.837997051,3.5226058,3.462192668,3.678576315,3.646480717,3.785884316,3.685886827,3.904085534,3.81793224,3.5722014,3.336316578,4.081576325,3.655006902,3.420127534,2.678937409,3.531874706,3.091447945,3.231327378,3.236086832,3.587974339,3.888025064,2.899421594,3.8679725,3.617564069,3.275469268
Gata6,3.30301112,2.05084726,4.165440237,3.75854285,3.443464682,3.5380298,3.540067567,3.094229151,3.287193129,2.960524728,3.783212209,3.323838856,3.388891336,2.835684718,3.317897984,3.6812917,3.634491757,2.686434451,3.520110669,3.350985536,3.539614479,3.018433536,3.308638223,2.522605923,1.193430684,3.481972304,2.742534308,3.745142345,2.898970582,3.4723415,3.5912135,3.376587828,3.576132904,3.289914653,2.860250956,2.818574851,3.036784756,2.675649244,2.885483132,3.752567653,2.728265741,3.73618316,3.282261762,2.554241087,3.738279624,1.379363518,3.351564857,2.94890455,3.108347476,3.547407226,1.61492435,3.708754754,2.88087591,3.462100878,3.654996175,3.625811977,3.184325984,2.784437148,3.378757562,2.752320462,3.488977951,0.55540032,3.229560806,2.870415436,3.708011658,3.669481523,1.904611204,2.347513588,2.588236775,3.059027742,4.188178471,2.57954099,3.677858858,2.741397812,2.123887753,3.45442979,3.851282821,3.381950755,3.105352313,2.475690214,3.380075295,2.89294974,2.502080728,3.283439194,3.29628155,3.574499375,2.464024306,3.534317471,3.636292796,3.035241048
Gatad2b,1.050956303,1.567449854,1.448669396,1.284299105,1.779391912,1.960198677,1.568257456,1.561796942,1.64926522,1.272755696,1.495969263,1.252292649,0.85580492,1.067423777,1.439986388,1.764406674,1.471674135,1.633731911,1.854498022,1.344889913,1.75301756,1.242966025,1.49488451,1.635347244,1.239249585,1.47673341,2.008075832,1.804052582,1.849211396,1.409278643,1.469979961,1.943431077,1.432071861,1.982238587,1.540404991,1.671921846,1.696717914,1.460372017,1.874530783,1.937175241,1.819253794,1.440220518,2.088590135,1.441535821,1.66824493,1.573920121,1.687960021,1.618099259,1.918621312,1.270904277,1.850962244,1.820358733,1.711989028,1.930053578,1.704993155,1.264987859,1.771051395,2.305377441,1.695546755,1.815986161,1.988512797,2.09441115,1.341314089,1.233861694,1.664487447,1.854715985,1.257389609,1.230573775,1.718020554,1.239135691,1.627994943,1.403586357,1.598965824,1.827084328,1.765031168,1.646640982,1.783447275,1.171866126,1.368399172,1.537448098,1.633722999,1.806970385,1.638275794,1.345477448,1.516187314,2.062915028,2.596258919,1.665045461,2.478936353,1.794824086
Gja1,2.67229548,3.718690844,4.052721674,3.63952461,2.940876561,3.079347311,3.699813921,2.281389174,2.780155513,2.625741053,3.045458275,3.348297483,3.446839537,2.934569588,1.701508451,3.601682436,1.731055432,3.306214014,2.899009635,2.436755783,3.541569907,2.009358146,3.93348707,3.256804384,2.040556327,2.698691666,2.832843327,3.276068067,3.380345998,3.751858664,4.633008411,3.081867081,3.635608869,2.679317124,3.734513033,4.06945494,2.596112355,3.597888157,3.306993163,2.530376545,1.920289792,3.623633856,3.33073227,2.579222481,3.333843221,3.103400911,3.37501805,2.184474818,3.694095494,3.008724819,4.216752474,0.958286356,3.453314528,2.216829513,4.145149933,3.030677004,3.845850264,4.656355262,3.158037717,3.021910191,2.8231506,5.100848437,2.098645176,3.081108995,3.816898063,3.404383577,3.636447871,3.589905031,3.532599214,3.313924756,3.304519473,2.732494648,2.946332824,2.683922303,4.055914507,4.415402026,3.008112832,3.533844373,3.56615117,3.773482448,3.448764022,3.296594904,3.0935604,2.580481746,3.382981886,3.876296738,3.43451289,2.640702972,3.982671425,3.363528677
Gli1,0.034669973,0.133598102,0.038745478,0,0,0.077306525,0.056353736,0,0,0.071126372,0,0,0.042573753,0.021191623,0.101907519,0,0,0,0.04423933,0,0,0,0,0.058510437,0,0.035092462,0,0.176848181,0.174756736,0.031676338,0,0,0,0.008550926,0,0.043842224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038988476,0,0,0.020563571,0,0,0,0.148155335,0,0,0,0,0,0,0,0.035102563,0,0,0,0,0.00903255,0,0.035378595,0,0.013808516,0.123579577,0.012889495,0,0.022223822,0.059971169,0,0.012128608,0.013365597,0,0,0,0.015391584,0,0.024248347,0,0
Gli2,0,0,0.362666835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058723529,0.272671469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007175944,0,0,0,0,0,0,0,0,0,0,0,0,0.033952962,0,0,0,0,0,0,0,0,0,0,0,0,0.018180069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glis2,0.62948946,1.217890585,0.717291806,0.795215142,0.666510312,1.422917982,0.455927585,0.287285535,0.567628093,0.458193096,0.34333656,0.877389644,0.746687994,1.669984743,1.068976255,1.197633226,1.009249005,0.596676138,0.813309,0.446275737,0.804649398,1.055025492,1.763776384,0.683250424,1.615643368,1.273490493,1.06148645,0.92202363,0.999499732,1.509338822,1.253930157,1.374418286,1.504332133,1.035710782,0.868816,0.719549047,0.876184287,0.374486549,1.084989678,1.136203124,0.856232601,0.846469627,0.726866127,1.115702803,1.284240126,1.53060488,0.803926825,0.361390896,0.324764719,1.092579364,1.372727615,1.270558513,1.416505283,1.039286244,1.315289995,1.490643493,0.607913046,1.151676769,1.126661252,0.521026828,0.801989712,1.244079543,0.399394515,0.746321358,0.671609734,0.882929775,0.539512094,0.918460367,1.023586949,0.61869263,0.877677237,0.589311841,0.565719424,1.179208219,0.658241098,1.147428881,1.263329896,1.191190858,1.096901881,1.299744189,1.250348906,1.161793676,1.226784714,0.990428073,0.567275536,1.144859211,1.101511567,0.945143075,1.146885902,1.413772487
Gls,4.610115603,3.819321544,3.28632192,3.835100531,4.589557681,3.695656804,4.169018775,3.742528023,3.796520829,3.121061408,3.658927123,3.91520054,3.104402312,3.950154712,4.54194667,3.877721993,3.770922077,4.030418675,4.309840332,4.262319565,4.211352947,4.481385027,3.503975603,4.241739857,2.709515888,3.452108184,4.175314542,4.534836473,4.837131322,3.513603981,4.46938249,4.588784842,4.085717458,4.083221899,4.553754073,5.161182428,2.580347117,3.741326804,3.465633104,4.519008735,3.254146479,4.45629177,3.692604135,3.373306525,3.23609668,3.10812344,4.251025743,3.880897482,4.243616542,4.218786709,3.920953187,2.978956004,4.028738266,4.323515041,4.396551139,3.694595026,4.400442705,2.64373187,4.338891634,3.423082291,3.602453649,3.558764522,3.432944274,3.089593663,3.071090841,4.429704026,4.045938767,4.579025943,2.85549753,4.6308782,4.604252847,4.090851103,4.345744259,4.356723171,3.734128015,4.178059376,4.989237119,3.980397459,3.946058615,3.477435154,5.26522515,4.198238992,4.459478446,3.702257457,4.755089208,4.24437057,3.971565067,4.720261985,4.181972522,4.670906527
Glul,4.976134855,3.962038733,4.159277728,4.666996787,4.222296532,4.700240465,5.102720737,4.436611173,4.544763578,5.57855206,3.627585289,4.213302914,4.523973747,5.358352624,4.570204048,4.963218453,3.736698804,4.250378927,5.015774663,4.549394744,4.944688455,5.133679385,5.245953493,3.529463354,3.690119933,3.01814956,4.580685268,4.422951105,4.262590418,5.596740534,5.382389604,4.836244571,5.528945309,4.259495862,4.86013184,3.860145206,4.560656779,3.995479623,3.347912591,3.804970964,5.190920058,3.600943809,4.105659121,2.917750824,5.261522658,5.259044288,4.879200406,4.373806662,2.744161729,3.777912126,5.018294803,4.587064945,4.417056684,4.257968693,4.441309356,4.577869104,5.009554444,3.476465154,5.11909943,4.597910515,4.049191115,2.702841723,3.775117847,4.767127682,4.778681101,4.336741804,4.880568445,5.210794905,3.288622014,4.438580883,4.51673019,4.568758617,4.988318731,2.973643325,3.844576538,3.758410594,3.364617292,4.286759178,5.545379292,3.235356093,3.734716987,4.447124026,4.930185609,4.86972869,4.223279423,5.864630106,5.724236266,4.481018546,4.761167804,5.536419439
Gnas,3.275692109,3.650030463,3.118520502,3.297317408,4.05735509,3.300596446,3.813786341,3.976248369,2.837920011,3.295989125,3.921314541,3.728095062,3.619183596,2.899992762,3.429909732,3.394741904,3.031474289,3.29340899,3.843264867,2.833230351,4.020107972,2.936175963,3.332966639,4.003476022,0.772166228,3.138857668,4.094661069,2.764771751,3.550160323,3.569963079,3.610308848,3.71821618,3.837167111,3.511371997,2.732797844,2.301540057,2.985465657,2.988532219,3.127857906,2.62067994,4.043050194,3.729697703,3.769193201,3.485312835,2.999877534,4.621555713,3.897988936,3.630517909,3.185336484,3.774392403,3.065458351,3.191471469,3.081825729,3.787177763,3.828319493,3.109332507,2.834311292,3.382146655,3.701309365,3.397650091,3.255401942,3.090999447,3.526628319,3.607163811,2.364490547,3.644864023,3.085158299,3.266471056,2.816453578,3.756239341,3.119548049,3.494157901,2.966979803,3.25243955,2.920165318,3.790820061,4.113404487,2.854739377,3.545547633,3.150195479,3.937970088,2.832443523,2.696465287,3.355938962,3.288365783,2.920026686,3.695009931,3.691094441,3.901048589,3.433494128
Gnrh1,0,0,0.134939459,0,0,0,0,0,0,0.149544842,0,0.193246299,0.112244118,0.213998827,0.109815614,0.55910679,0,0,0.131945003,0.342485578,0,0.10447938,0,0.30363069,0,0.235579282,0.132244001,0,0.45095279,0.163423199,0,0.362927518,0,0.322121938,0,0.115507206,0.39126044,0,0.27326636,0.567489853,0.306301001,0,0,0.295037171,0,0.257560851,0.324830452,0,0,0,0.41667605,0,0,0,0,0,0.319255832,0,0.245549082,0.1249858,0,0.469999569,0,0.222462788,0,0,0,0,0.117274457,0.183625206,0.117508935,0.123562663,0,0.391516362,0,0,0,0.733184125,0.243014042,0,0.125951886,0,0,0.147572541,0,0,0.527744536,0,0.256837742,0.465184297
Grin1,0,0.011200489,0.384672433,0.01435793,0.014833714,0.048763491,0,1.19201395,0,0.018025683,0.018054624,0.024096166,0.014577484,0.388343341,0,0.016369715,0.057906966,0.062928137,0.031526291,0.039629374,0.286361819,0.01279888,0.263586566,0.075858448,0.042600393,0.015241037,0,0.091532504,0.013825996,0.039637091,0.035073959,0,0.043910045,0,0.038908408,0.06775278,0.04551685,0,0,0,0,0.62430645,0,0.039622165,0.018566405,0,0,0.033752669,0.029965723,0.175941319,0.327896756,0,0.025462066,0.156994702,0.110611807,0.013470052,0.043635186,0.016870102,0,0.029906435,0.048526345,0.046985818,0.029641322,0.01390218,0.075924634,0.047484415,0.028457721,0.047818074,0.042462939,0.278679396,0,0.015312826,0.014819563,0.018316825,0.090207624,0.055694925,0,0.216068302,0.061980303,0.030918778,0.02993759,0.065966839,0.05320842,0.049437361,0.026236735,0.037806907,0.672909308,0.015664441,0.017501695,0
Gsr,2.956661768,2.836953448,1.239003559,1.366331089,2.826806758,2.681352075,2.394202594,2.311474411,2.13553866,2.751832833,2.260437357,2.157865704,2.64816906,2.008269039,2.318273522,2.992845839,2.494938624,2.477244991,2.006354629,3.006391702,2.241993925,2.558485559,2.550890915,2.605178735,2.401612456,2.350129721,2.272450683,2.473585162,3.016402212,2.178661964,2.26039655,2.955976167,2.813910781,2.675022836,2.048423841,1.926605844,2.677855455,3.179021997,1.673708855,2.599776231,1.730627909,2.510686169,2.520655604,2.815124942,1.036611735,3.821562811,2.341056435,2.342806163,3.153073864,2.409268711,1.931145327,2.279791406,2.270048079,2.888362178,2.24837663,2.53722465,3.247653876,1.621843092,1.972030359,2.744812774,2.067415315,2.082664381,2.826885844,3.337120737,2.636459857,2.041154917,1.952415984,2.904987124,3.082589489,2.319551157,2.245935813,3.478128889,2.168263058,2.536729454,2.29396997,2.09064387,2.63598878,2.78927898,3.023195885,2.413706917,2.272830811,3.069440627,2.80407607,1.80269483,2.895485903,2.569502238,1.730959484,2.27723162,2.750716151,2.631174058
