"Gene1","Gene2"
"DEK","POLR2K"
"DEK","TFAP2A"
"DEK","POLR1C"
"DEK","MYBBP1A"
"DEK","POLR2F"
"DEK","POLR2H"
"DEK","POLR1B"
"DEK","RNPS1"
"DEK","UPF1"
"DNAJC2","SSB"
"DNAJC2","SSB"
"DNMT1","SIRT1"
"DNMT1","MCM5"
"DNMT1","NANOG"
"DNMT1","SNAI1"
"DNMT1","POU5F1"
"DNMT1","E2F3"
"DNMT1","MCM6"
"DNMT1","ARID4B"
"DNMT1","STAT3"
"DNMT1","DNMT3A"
"DNMT1","MCM2"
"DNMT1","TP53"
"DNMT1","MCM7"
"DNMT1","EZH2"
"DNMT1","SOX2"
"DNMT1","DNMT3B"
"DNMT1","HIST1H1B"
"DNMT1","MCM5"
"DNMT1","MCM6"
"DNMT1","NANOG"
"DNMT1","SNAI1"
"DNMT1","CXXC1"
"DNMT1","RBBP4"
"DNMT1","DNMT3B"
"DNMT1","SIRT1"
"DNMT1","ARID4B"
"DNMT1","MCM7"
"DNMT1","HIST1H1B"
"DNMT1","TP53"
"DNMT1","TFDP1"
"DNMT1","PARP1"
"DNMT1","POU5F1"
"DNMT1","MCM2"
"DNMT1","EHMT2"
"DNMT1","E2F3"
"DNMT1","SOX2"
"DNMT1","DNMT3A"
"DNMT1","STAT3"
"DNMT1","ZEB1"
"DNMT1","MCM3"
"DNMT1","SAP18"
"DNMT1","EZH2"
"DNMT1","UHRF1"
"DNMT1","ZEB1"
"DNMT1","PARP1"
"DNMT1","RBBP4"
"DNMT1","TFDP1"
"DNMT1","EHMT2"
"DNMT1","CXXC1"
"DNMT1","UHRF1"
"DNMT1","MCM3"
"DNMT1","SAP18"
"DNMT3A","CCND1"
"DNMT3A","SMARCC1"
"DNMT3A","SMARCD3"
"DNMT3A","TP53"
"DNMT3A","ASXL1"
"DNMT3A","SMARCC1"
"DNMT3A","CCND1"
"DNMT3A","EHMT2"
"DNMT3A","SMARCD3"
"DNMT3A","SMARCD1"
"DNMT3A","RBBP4"
"DNMT3A","DNMT1"
"DNMT3A","SALL3"
"DNMT3A","DNMT3B"
"DNMT3A","NPM1"
"DNMT3A","EZH2"
"DNMT3A","UHRF1"
"DNMT3A","PHC1"
"DNMT3A","TP53"
"DNMT3A","NPM1"
"DNMT3A","EZH2"
"DNMT3A","DNMT3B"
"DNMT3A","DNMT1"
"DNMT3A","RBBP4"
"DNMT3A","EHMT2"
"DNMT3A","ASXL1"
"DNMT3A","SMARCD1"
"DNMT3A","PHC1"
"DNMT3A","SALL3"
"DNMT3A","UHRF1"
"DNMT3B","SIRT1"
"DNMT3B","NANOG"
"DNMT3B","POU5F1"
"DNMT3B","ARID4B"
"DNMT3B","DNMT3A"
"DNMT3B","PRDM14"
"DNMT3B","EZH2"
"DNMT3B","NANOG"
"DNMT3B","POU5F1"
"DNMT3B","EHMT2"
"DNMT3B","RBBP4"
"DNMT3B","DNMT3A"
"DNMT3B","DNMT1"
"DNMT3B","SIRT1"
"DNMT3B","ARID4B"
"DNMT3B","SAP18"
"DNMT3B","EZH2"
"DNMT3B","PRDM14"
"DNMT3B","UHRF1"
"DNMT3B","DNMT1"
"DNMT3B","RBBP4"
"DNMT3B","EHMT2"
"DNMT3B","UHRF1"
"DNMT3B","SAP18"
"DPF2","SMARCC1"
"DPF2","SMARCD3"
"DPF2","SMARCD1"
"DPF2","SMARCC1"
"DPF2","SMARCD3"
"DPF2","SMARCD1"
"E2F3","MYBL2"
"E2F3","CCND1"
"E2F3","GSC"
"E2F3","CCNE2"
"E2F3","MYBL2"
"E2F3","MAML3"
"E2F3","MAMLD1"
"E2F3","RBBP4"
"E2F3","CCNA2"
"E2F3","TFDP1"
"E2F3","GSC"
"E2F3","TFE3"
"E2F3","CCND1"
"E2F3","DNMT1"
"E2F3","CDK6"
"E2F3","EZH2"
"E2F3","RBPJ"
"E2F3","CDK6"
"E2F3","CCNA2"
"E2F3","TFE3"
"E2F3","EZH2"
"E2F3","RBPJ"
"E2F3","DNMT1"
"E2F3","RBBP4"
"E2F3","TFDP1"
"E2F3","MAMLD1"
"E2F3","MAML3"
"E2F3","CCNE2"
"E2F4","MYBL2"
"E2F4","CCND1"
"E2F4","SMAD2"
"E2F4","CDK6"
"E2F4","TP53"
"E2F4","CCNA2"
"E2F4","CTBP1"
"E2F4","CUL1"
"E2F4","ETV3"
"E2F4","RBBP4"
"E2F4","TFDP1"
"E2F4","CCNE2"
"E2F4","MYBL2"
"E2F4","SMAD2"
"E2F4","RBBP4"
"E2F4","CCNA2"
"E2F4","CTBP1"
"E2F4","TP53"
"E2F4","TFDP1"
"E2F4","CUL1"
"E2F4","CCND1"
"E2F4","CDK6"
"E2F4","ETV3"
"E2F4","CCNE2"
"E2F7","CDK6"
"E2F7","TP53"
"E2F7","CCNA2"
"E2F7","CDCA8"
"E2F7","CCNA2"
"E2F7","TP53"
"E2F7","CDK6"
"E2F7","CDCA8"
"EEF1A1","RUVBL1"
"EEF1A1","RUVBL1"
"EEF1A1","POLR2A"
"EEF1A1","POLR2A"
"EGF","TGFB1"
"EGF","CCND1"
"EGF","ODC1"
"EGF","EGR1"
"EGF","SNAI1"
"EGF","PDGFRA"
"EGF","VAMP7"
"EGF","LIFR"
"EGF","EPCAM"
"EGF","KDR"
"EGF","WNT5A"
"EGF","STAT3"
"EGF","TGFB1"
"EGF","SRC"
"EGF","KDR"
"EGF","SNAI1"
"EGF","PDGFRA"
"EGF","EPCAM"
"EGF","ITGA6"
"EGF","WNT5A"
"EGF","PROM1"
"EGF","CTNNB1"
"EGF","EGR1"
"EGF","LGR5"
"EGF","FN1"
"EGF","PLAU"
"EGF","DAB2"
"EGF","ODC1"
"EGF","SNX18"
"EGF","LIFR"
"EGF","TP53"
"EGF","CCND1"
"EGF","BMP2"
"EGF","PDGFA"
"EGF","STAT3"
"EGF","ERBB4"
"EGF","PGR"
"EGF","VAMP7"
"EGF","AR"
"EGF","ZEB1"
"EGF","SNAI2"
"EGF","LGR5"
"EGF","TP53"
"EGF","DAB2"
"EGF","SNX18"
"EGF","PGR"
"EGF","ERBB4"
"EGF","CTNNB1"
"EGF","PDGFA"
"EGF","FN1"
"EGF","ZEB1"
"EGF","PLAU"
"EGF","SRC"
"EGF","AR"
"EGF","BMP2"
"EGF","SNAI2"
"EGF","ITGA6"
"EGF","PROM1"
"EGR1","CCND1"
"EGR1","JUND"
"EGR1","STAT2"
"EGR1","OAS1"
"EGR1","SNAI1"
"EGR1","IRF1"
"EGR1","RBBP4"
"EGR1","CTNNB1"
"EGR1","BTG2"
"EGR1","TP53"
"EGR1","MECOM"
"EGR1","EGF"
"EGR1","NFATC1"
"EGR1","GATAD2A"
"EGR1","CCND1"
"EGR1","NFATC3"
"EGR1","STAT3"
"EGR1","SNAI2"
"EGR1","EZH2"
"EGR1","PHC1"
"EGR1","SNAI1"
"EGR1","IRF1"
"EGR1","JUND"
"EGR1","STAT3"
"EGR1","MECOM"
"EGR1","EGF"
"EGR1","TP53"
"EGR1","BTG2"
"EGR1","NFATC3"
"EGR1","STAT2"
"EGR1","EZH2"
"EGR1","CTNNB1"
"EGR1","GATAD2A"
"EGR1","RBBP4"
"EGR1","SNAI2"
"EGR1","OAS1"
"EGR1","NFATC1"
"EGR1","PHC1"
"EHMT2","SIRT1"
"EHMT2","SNAI1"
"EHMT2","POU5F1"
"EHMT2","DNMT3A"
"EHMT2","TP53"
"EHMT2","UBTF"
"EHMT2","YAF2"
"EHMT2","DNMT3B"
"EHMT2","CBX3"
"EHMT2","WDR5"
"EHMT2","DNMT1"
"EHMT2","GATAD2A"
"EHMT2","PRDM1"
"EHMT2","RBBP4"
"EHMT2","TFDP1"
"EHMT2","SNAI1"
"EHMT2","CBX3"
"EHMT2","RBBP4"
"EHMT2","YAF2"
"EHMT2","DNMT3B"
"EHMT2","SIRT1"
"EHMT2","RUVBL2"
"EHMT2","PRDM1"
"EHMT2","UBTF"
"EHMT2","WDR5"
"EHMT2","TP53"
"EHMT2","TFDP1"
"EHMT2","POU5F1"
"EHMT2","GATAD2A"
"EHMT2","DNMT3A"
"EHMT2","DNMT1"
"EHMT2","UHRF1"
"EHMT2","RUVBL2"
"EHMT2","UHRF1"
"ELAVL2","POLR2I"
"ELAVL2","SRSF6"
"ELAVL2","FUS"
"ELAVL2","SRSF1"
"ELAVL2","POLR2D"
"ELAVL2","SNRPD1"
"ELAVL2","POLR2G"
"ELAVL2","HNRNPD"
"ELAVL2","POLR2K"
"ELAVL2","RBMX"
"ELAVL2","YBX1"
"ELAVL2","SRSF3"
"ELAVL2","HNRNPK"
"ELAVL2","SF1"
"ELAVL2","SRSF2"
"ELAVL2","YBX1"
"ELAVL2","RNPS1"
"ELAVL2","HNRNPK"
"ELAVL2","SF1"
"ELAVL2","POLR2H"
"ELAVL2","SNRPB"
"ELAVL2","RBMX"
"ELAVL2","SRSF6"
"ELAVL2","SRSF1"
"ELAVL2","POLR2G"
"ELAVL2","SRSF3"
"ELAVL2","HNRNPD"
"ELAVL2","POLR2D"
"ELAVL2","ALYREF"
"ELAVL2","POLR2I"
"ELAVL2","SRSF2"
"ELAVL2","POLR2F"
"ELAVL2","POLR2K"
"ELAVL2","FUS"
"ELAVL2","SNRPD1"
"ELAVL2","POLR2A"
"ELAVL2","POLR2F"
"ELAVL2","SNRPB"
"ELAVL2","POLR2H"
"ELAVL2","ALYREF"
"ELAVL2","RNPS1"
"ELAVL2","POLR2A"
"ELL2","POLR2I"
"ELL2","SNAPC3"
"ELL2","POLR2G"
"ELL2","POU2F1"
"ELL2","AFF4"
"ELL2","MLLT3"
"ELL2","POLR2D"
"ELL2","POLR2H"
"ELL2","AFF1"
"ELL2","POLR2I"
"ELL2","POLR2F"
"ELL2","POLR2K"
"ELL2","POU2F2"
"ELL2","SNAPC4"
"ELL2","POLR2A"
"ELL2","AFF4"
"ELL2","POLR2D"
"ELL2","SNAPC4"
"ELL2","POLR2G"
"ELL2","POLR2K"
"ELL2","POU2F1"
"ELL2","MLLT3"
"ELL2","SNAPC3"
"ELL2","AFF1"
"ELL2","POLR2F"
"ELL2","POLR2H"
"ELL2","POU2F2"
"ELL2","POLR2A"
"ENO1","HLA-DRB1"
"ENO1","HLA-DRB1"
"EOMES","NANOG"
"EOMES","BMP4"
"EOMES","SMAD2"
"EOMES","SOX2"
"EOMES","BCL11B"
"EOMES","CUX1"
"EOMES","GATA3"
"EOMES","BCL11B"
"EOMES","NANOG"
"EOMES","SMAD2"
"EOMES","GATA3"
"EOMES","BMP4"
"EOMES","CUX1"
"EOMES","SOX2"
"ESPL1","MCM5"
"ESPL1","MYBL2"
"ESPL1","DLGAP5"
"ESPL1","NCAPG"
"ESPL1","MCM7"
"ESPL1","CENPK"
"ESPL1","MCM5"
"ESPL1","MCM6"
"ESPL1","KIF15"
"ESPL1","NDC80"
"ESPL1","MYBL2"
"ESPL1","TTK"
"ESPL1","WDHD1"
"ESPL1","CDCA8"
"ESPL1","KIF23"
"ESPL1","PLK1"
"ESPL1","CEP55"
"ESPL1","NCAPG"
"ESPL1","DYNC1I1"
"ESPL1","DLGAP5"
"ESPL1","CDC20"
"ESPL1","NUSAP1"
"ESPL1","CCNA2"
"ESPL1","ESCO2"
"ESPL1","PLK2"
"ESPL1","ERCC6L"
"ESPL1","CCNB2"
"ESPL1","MCM3"
"ESPL1","MCM4"
"ESPL1","BUB1B"
"ESPL1","DSCC1"
"ESPL1","KIF23"
"ESPL1","NDC80"
"ESPL1","MCM4"
"ESPL1","MCM6"
"ESPL1","CCNA2"
"ESPL1","PLK2"
"ESPL1","BUB1B"
"ESPL1","CCNB2"
"ESPL1","PLK1"
"ESPL1","ESCO2"
"ESPL1","MCM7"
"ESPL1","DYNC1I1"
"ESPL1","DSCC1"
"ESPL1","KIF15"
"ESPL1","ERCC6L"
"ESPL1","WDHD1"
"ESPL1","TTK"
"ESPL1","CEP55"
"ESPL1","CDC20"
"ESPL1","CDCA8"
"ESPL1","CENPK"
"ESPL1","NUSAP1"
"ESPL1","MCM3"
"ESRRG","PPARGC1B"
"ESRRG","HLX"
"ESRRG","NRIP1"
"ESRRG","TLE1"
"ESRRG","PPARGC1B"
"ESRRG","HLX"
"ESRRG","TLE1"
"ESRRG","NRIP1"
"ETS1","TP53"
"ETS1","RUNX1"
"ETS1","SP100"
"ETS1","ZEB1"
"ETS1","DAXX"
"ETS1","ID1"
"ETS1","TDP2"
"ETS1","GATA3"
"ETS1","ID1"
"ETS1","RUNX1"
"ETS1","TP53"
"ETS1","DAXX"
"ETS1","TDP2"
"ETS1","GATA3"
"ETS1","SP100"
"ETS1","ZEB1"
"ETV1","AR"
"ETV1","EWSR1"
"ETV1","AR"
"ETV1","EWSR1"
"ETV3","E2F4"
"ETV3","E2F4"
"ETV4","EWSR1"
"ETV4","EWSR1"
"EWSR1","POU5F1"
"EWSR1","TP53"
"EWSR1","POLR2G"
"EWSR1","ETV4"
"EWSR1","YBX1"
"EWSR1","HNRNPK"
"EWSR1","SF1"
"EWSR1","NR0B1"
"EWSR1","YBX1"
"EWSR1","POLR2G"
"EWSR1","TP53"
"EWSR1","FLI1"
"EWSR1","ETV1"
"EWSR1","HNRNPK"
"EWSR1","POU5F1"
"EWSR1","SF1"
"EWSR1","ETV4"
"EWSR1","NR0B1"
"EWSR1","ETV1"
"EWSR1","FLI1"
"EZH2","SIRT1"
"EZH2","POLR2I"
"EZH2","CCND1"
"EZH2","EGR1"
"EZH2","SNAI1"
"EZH2","NCAPG"
"EZH2","POU5F1"
"EZH2","E2F3"
"EZH2","STAT3"
"EZH2","MECOM"
"EZH2","DNMT3A"
"EZH2","TP53"
"EZH2","MEIS1"
"EZH2","POLR2D"
"EZH2","CCNA2"
"EZH2","MYCN"
"EZH2","BUB1B"
"EZH2","CCNB2"
"EZH2","POLR2G"
"EZH2","KIF15"
"EZH2","ATRX"
"EZH2","DTL"
"EZH2","SNAI1"
"EZH2","PBX1"
"EZH2","NCAPG"
"EZH2","POLR2H"
"EZH2","RBBP4"
"EZH2","CCNA2"
"EZH2","CCNB2"
"EZH2","DNMT3B"
"EZH2","SIRT1"
"EZH2","CTNNB1"
"EZH2","GATA4"
"EZH2","EGR1"
"EZH2","BUB1B"
"EZH2","MYCN"
"EZH2","MEIS1"
"EZH2","RARG"
"EZH2","POLR2G"
"EZH2","WDR5"
"EZH2","TP53"
"EZH2","MECOM"
"EZH2","HOXB3"
"EZH2","TFDP1"
"EZH2","ASXL1"
"EZH2","POLR2D"
"EZH2","TTK"
"EZH2","PARP1"
"EZH2","POU5F1"
"EZH2","KDM6A"
"EZH2","GATAD2A"
"EZH2","CCND1"
"EZH2","ASH2L"
"EZH2","E2F3"
"EZH2","POLR2I"
"EZH2","SRSF2"
"EZH2","DNMT3A"
"EZH2","POLR2F"
"EZH2","STAT3"
"EZH2","DNMT1"
"EZH2","POLR2K"
"EZH2","AR"
"EZH2","SNAI2"
"EZH2","NCOA6"
"EZH2","UHRF1"
"EZH2","PHC1"
"EZH2","POLR2A"
"EZH2","KIF15"
"EZH2","DNMT3B"
"EZH2","GATA4"
"EZH2","ASH2L"
"EZH2","POLR2K"
"EZH2","CTNNB1"
"EZH2","WDR5"
"EZH2","DNMT1"
"EZH2","GATAD2A"
"EZH2","PARP1"
"EZH2","DTL"
"EZH2","TTK"
"EZH2","ATRX"
"EZH2","RBBP4"
"EZH2","AR"
"EZH2","NCOA6"
"EZH2","TFDP1"
"EZH2","ASXL1"
"EZH2","KDM6A"
"EZH2","SRSF2"
"EZH2","SNAI2"
"EZH2","RARG"
"EZH2","POLR2F"
"EZH2","PBX1"
"EZH2","POLR2H"
"EZH2","HOXB3"
"EZH2","PHC1"
"EZH2","UHRF1"
"EZH2","POLR2A"
"FLI1","EWSR1"
"FLI1","EWSR1"
"FOXD3","NANOG"
"FOXD3","POU5F1"
"FOXD3","MITF"
"FOXD3","SOX2"
"FOXD3","MITF"
"FOXD3","NANOG"
"FOXD3","POU5F1"
"FOXD3","SOX2"
"FOXD3","MSX1"
"FOXD3","TFAP2A"
"FOXD3","SNAI2"
"FOXD3","TFAP2A"
"FOXD3","MSX1"
"FOXD3","SNAI2"
"FOXF1","BMP4"
"FOXF1","BMP4"
"FOXH1","SMAD2"
"FOXH1","SMAD2"
"FOXK1","HCFC1"
"FOXK1","ASXL1"
"FOXK1","HCFC1"
"FOXK1","ASXL1"
"FUBP1","SFPQ"
"FUBP1","SRSF3"
"FUBP1","KHSRP"
"FUBP1","SF1"
"FUBP1","SFPQ"
"FUBP1","U2AF1"
"FUBP1","SRSF3"
"FUBP1","SF1"
"FUBP1","KHSRP"
"FUBP1","U2AF1"
"FUS","POLR2I"
"FUS","SRSF6"
"FUS","YBX1"
"FUS","POLR2G"
"FUS","SRSF3"
"FUS","NONO"
"FUS","RNPS1"
"FUS","HNRNPK"
"FUS","HNRNPD"
"FUS","POLR2D"
"FUS","ALYREF"
"FUS","SF1"
"FUS","ELAVL2"
"FUS","POLR2H"
"FUS","SRSF10"
"FUS","SFPQ"
"FUS","SNRPB"
"FUS","POLR2I"
"FUS","SRSF2"
"FUS","POLR2F"
"FUS","POLR2K"
"FUS","ILF3"
"FUS","SNRPD1"
"FUS","RBMX"
"FUS","SRSF6"
"FUS","SRSF1"
"FUS","POLR2A"
"FUS","SRSF1"
"FUS","POLR2D"
"FUS","NONO"
"FUS","SNRPD1"
"FUS","POLR2G"
"FUS","HNRNPD"
"FUS","POLR2K"
"FUS","SFPQ"
"FUS","RBMX"
"FUS","YBX1"
"FUS","SRSF3"
"FUS","HNRNPK"
"FUS","SF1"
"FUS","SRSF2"
"FUS","ELAVL2"
"FUS","POLR2F"
"FUS","ILF3"
"FUS","SNRPB"
"FUS","POLR2H"
"FUS","SRSF10"
"FUS","ALYREF"
"FUS","RNPS1"
"FUS","POLR2A"
"FXR1","MCCC1"
"FXR1","ATP11B"
"FXR1","FN1"
"FXR1","SRC"
"FXR1","ESRP1"
"FXR1","MCCC1"
"FXR1","ATP11B"
"FXR1","FN1"
"FXR1","SRC"
"FXR1","ESRP1"
"GATA2","BMP4"
"GATA2","LMO2"
"GATA2","KDR"
"GATA2","GATA6"
"GATA2","RUNX1"
"GATA2","LDB2"
"GATA2","HOXB4"
"GATA2","GATA4"
"GATA2","RUNX1"
"GATA2","KDR"
"GATA2","GATA3"
"GATA2","LMO2"
"GATA2","HOXB4"
"GATA2","GATA4"
"GATA2","ZFPM2"
"GATA2","BMP4"
"GATA2","LDB2"
"GATA2","GATA6"
"GATA2","GATA3"
"GATA2","ZFPM2"
"GATA3","CCND1"
"GATA3","TBX3"
"GATA3","LMO2"
"GATA3","STAT3"
"GATA3","GATA6"
"GATA3","RUNX1"
"GATA3","PGR"
"GATA3","GATA4"
"GATA3","GATA2"
"GATA3","BCL11B"
"GATA3","POU2F1"
"GATA3","NRIP1"
"GATA3","POU2F1"
"GATA3","RUNX1"
"GATA3","BCL11B"
"GATA3","LMO2"
"GATA3","TBX3"
"GATA3","GATA4"
"GATA3","ZFPM2"
"GATA3","GATA6"
"GATA3","TLE3"
"GATA3","NFATC1"
"GATA3","CCND1"
"GATA3","SATB1"
"GATA3","EOMES"
"GATA3","ETS1"
"GATA3","STAT3"
"GATA3","PGR"
"GATA3","GATA2"
"GATA3","ETS1"
"GATA3","NRIP1"
"GATA3","ZFPM2"
"GATA3","EOMES"
"GATA3","NFATC1"
"GATA3","SATB1"
"GATA3","TLE3"
"GATA4","NANOG"
"GATA4","ISL1"
"GATA4","BMP4"
"GATA4","POU5F1"
"GATA4","SMARCD3"
"GATA4","GATA6"
"GATA4","SMAD6"
"GATA4","SOX17"
"GATA4","NFATC3"
"GATA4","SOX7"
"GATA4","EZH2"
"GATA4","SOX2"
"GATA4","HAND2"
"GATA4","TBX20"
"GATA4","NANOG"
"GATA4","GATA3"
"GATA4","SMARCD3"
"GATA4","SMAD6"
"GATA4","SOX7"
"GATA4","HOPX"
"GATA4","BMPR1A"
"GATA4","ZFPM2"
"GATA4","BMP4"
"GATA4","GATA6"
"GATA4","POU5F1"
"GATA4","NFATC1"
"GATA4","BMP2"
"GATA4","SOX17"
"GATA4","MYOCD"
"GATA4","SOX2"
"GATA4","NFATC3"
"GATA4","ISL1"
"GATA4","SMAD5"
"GATA4","EZH2"
"GATA4","GATA2"
"GATA4","GATA2"
"GATA4","HAND2"
"GATA4","BMPR1A"
"GATA4","BMP2"
"GATA4","GATA3"
"GATA4","ZFPM2"
"GATA4","TBX20"
"GATA4","NFATC1"
"GATA4","MYOCD"
"GATA4","SMAD5"
"GATA4","HOPX"
"GATA6","NANOG"
"GATA6","ISL1"
"GATA6","TBX3"
"GATA6","POU5F1"
"GATA6","TBX20"
"GATA6","NANOG"
"GATA6","GATA3"
"GATA6","TBX3"
"GATA6","SOX7"
"GATA6","GATA4"
"GATA6","ZFPM2"
"GATA6","POU5F1"
"GATA6","SOX17"
"GATA6","SOX2"
"GATA6","ISL1"
"GATA6","GATA2"
"GATA6","SOX17"
"GATA6","SOX7"
"GATA6","SOX2"
"GATA6","GATA4"
"GATA6","GATA2"
"GATA6","GATA3"
"GATA6","ZFPM2"
"GATA6","TBX20"
"GATAD2A","SIRT1"
"GATAD2A","EGR1"
"GATAD2A","SNAI1"
"GATAD2A","MECOM"
"GATAD2A","TP53"
"GATAD2A","UBTF"
"GATAD2A","EZH2"
"GATAD2A","CBX3"
"GATAD2A","UBTF"
"GATAD2A","TP53"
"GATAD2A","MECOM"
"GATAD2A","ZNF219"
"GATAD2A","SNAI1"
"GATAD2A","KAT6A"
"GATAD2A","EHMT2"
"GATAD2A","CBX3"
"GATAD2A","RBBP4"
"GATAD2A","PHF21A"
"GATAD2A","HDAC9"
"GATAD2A","SIRT1"
"GATAD2A","SNAI2"
"GATAD2A","EGR1"
"GATAD2A","SAP18"
"GATAD2A","EZH2"
"GATAD2A","PHC1"
"GATAD2A","ZNF219"
"GATAD2A","RBBP4"
"GATAD2A","EHMT2"
"GATAD2A","SNAI2"
"GATAD2A","KAT6A"
"GATAD2A","PHF21A"
"GATAD2A","HDAC9"
"GATAD2A","PHC1"
"GATAD2A","SAP18"
"GRHL1","GRHL2"
"GRHL1","SMARCD3"
"GRHL1","GRHL2"
"GRHL1","PPARA"
"GRHL1","SMARCD3"
"GRHL1","NCOA6"
"GRHL1","NCOA6"
"GRHL1","PPARA"
"GRHL2","ESRP1"
"GRHL2","GRHL1"
"GRHL2","EPCAM"
"GRHL2","ZEB1"
"GRHL2","EPCAM"
"GRHL2","GRHL1"
"GRHL2","ZEB1"
"GRHL2","ESRP1"
"GSC","TFDP1"
"GSC","E2F3"
"GSC","E2F3"
"GSC","TFDP1"
"GTF2H2","RRN3"
"GTF2H2","SUPT16H"
"GTF2H2","POLR2I"
"GTF2H2","POLR1A"
"GTF2H2","AFF4"
"GTF2H2","POLR2D"
"GTF2H2","POLR2G"
"GTF2H2","UBTF"
"GTF2H2","UBTF"
"GTF2H2","POLR2G"
"GTF2H2","POLR1B"
"GTF2H2","POLR1A"
"GTF2H2","SUPT16H"
"GTF2H2","AFF4"
"GTF2H2","RRN3"
"GTF2H2","MLLT3"
"GTF2H2","POLR2D"
"GTF2H2","PARP1"
"GTF2H2","TAF1L"
"GTF2H2","POLR2H"
"GTF2H2","POLR2I"
"GTF2H2","POLR2F"
"GTF2H2","POLR2K"
"GTF2H2","POLR1C"
"GTF2H2","TCEA1"
"GTF2H2","RFC3"
"GTF2H2","POLR2A"
"GTF2H2","POLR2K"
"GTF2H2","PARP1"
"GTF2H2","POLR1C"
"GTF2H2","RFC3"
"GTF2H2","MLLT3"
"GTF2H2","POLR2F"
"GTF2H2","POLR2H"
"GTF2H2","TAF1L"
"GTF2H2","TCEA1"
"GTF2H2","POLR1B"
"GTF2H2","POLR2A"
"GTF3C4","NR3C1"
"GTF3C4","POLR3E"
"GTF3C4","POLR2K"
"GTF3C4","NR3C1"
"GTF3C4","POLR3G"
"GTF3C4","POLR2F"
"GTF3C4","POLR2K"
"GTF3C4","POLR1C"
"GTF3C4","POLR3E"
"GTF3C4","POLR2H"
"GTF3C4","POLR1C"
"GTF3C4","POLR3G"
"GTF3C4","POLR2F"
"GTF3C4","POLR2H"
"H1F0","TP53"
"H1F0","HIST1H1B"
"H1F0","HIST1H1B"
"H1F0","TP53"
"H1F0","HMGA1"
"H1F0","LIN28A"
"H1F0","LIN28A"
"H1F0","HMGA1"
"HAND1","HAND2"
"HAND1","NFATC1"
"HAND1","HAND2"
"HAND1","NFATC1"
"HAND2","HAND1"
"HAND2","BMP4"
"HAND2","GATA4"
"HAND2","TBX20"
"HAND2","BMP4"
"HAND2","NFATC1"
"HAND2","GATA4"
"HAND2","HAND1"
"HAND2","TBX20"
"HAND2","NFATC1"
"HCFC1","NFE2L3"
"HCFC1","SIRT1"
"HCFC1","WDR5"
"HCFC1","NFE2L3"
"HCFC1","ASXL1"
"HCFC1","TFB2M"
"HCFC1","TEX10"
"HCFC1","CXXC1"
"HCFC1","ASH2L"
"HCFC1","RUVBL1"
"HCFC1","FOXK1"
"HCFC1","SIRT1"
"HCFC1","RUVBL2"
"HCFC1","RUVBL1"
"HCFC1","FOXK1"
"HCFC1","ASH2L"
"HCFC1","WDR5"
"HCFC1","TFB2M"
"HCFC1","TEX10"
"HCFC1","ASXL1"
"HCFC1","CXXC1"
"HCFC1","RUVBL2"
"HDAC9","SIRT1"
"HDAC9","MEF2D"
"HDAC9","RFXANK"
"HDAC9","RBPJ"
"HDAC9","GATAD2A"
"HDAC9","RBBP4"
"HDAC9","PHF21A"
"HDAC9","MAML3"
"HDAC9","MEF2D"
"HDAC9","MAMLD1"
"HDAC9","RBBP4"
"HDAC9","PHF21A"
"HDAC9","SIRT1"
"HDAC9","RFXANK"
"HDAC9","GATAD2A"
"HDAC9","SAP18"
"HDAC9","RBPJ"
"HDAC9","MAMLD1"
"HDAC9","MAML3"
"HDAC9","SAP18"
"HESX1","SOX3"
"HESX1","SOX3"
"HIF1A","SIRT1"
"HIF1A","APEX1"
"HIF1A","NR3C1"
"HIF1A","VHL"
"HIF1A","STAT3"
"HIF1A","TP53"
"HIF1A","LIMD1"
"HIF1A","COMMD10"
"HIF1A","ARNT2"
"HIF1A","CTNNB1"
"HIF1A","BNIP3"
"HIF1A","HIF3A"
"HIF1A","NR3C1"
"HIF1A","HIF3A"
"HIF1A","VHL"
"HIF1A","SIRT1"
"HIF1A","CTNNB1"
"HIF1A","APEX1"
"HIF1A","COMMD10"
"HIF1A","ARNT2"
"HIF1A","CITED2"
"HIF1A","TP53"
"HIF1A","PSMD9"
"HIF1A","STAT3"
"HIF1A","LIMD1"
"HIF1A","BNIP3"
"HIF1A","PSMD9"
"HIF1A","CITED2"
"HIF3A","VHL"
"HIF3A","LIMD1"
"HIF3A","COMMD10"
"HIF3A","CITED2"
"HIF3A","PSMD9"
"HIF3A","VHL"
"HIF3A","LIMD1"
"HIF3A","COMMD10"
"HIF3A","HIF1A"
"HIF3A","HIF1A"
"HIF3A","PSMD9"
"HIF3A","CITED2"
"HIST1H1B","TP53"
"HIST1H1B","TP53"
"HIST1H1B","H1F0"
"HIST1H1B","KAT6A"
"HIST1H1B","HMGA1"
"HIST1H1B","TRIM33"
"HIST1H1B","CBX3"
"HIST1H1B","DNMT1"
"HIST1H1B","CBX3"
"HIST1H1B","H1F0"
"HIST1H1B","TRIM33"
"HIST1H1B","DNMT1"
"HIST1H1B","KAT6A"
"HIST1H1B","HMGA1"
"HLX","AES"
"HLX","ESRRG"
"HLX","AES"
"HLX","ESRRG"
"HMGA1","TP53"
"HMGA1","HIST1H1B"
"HMGA1","H1F0"
"HMGA1","HIST1H1B"
"HMGA1","TP53"
"HMGA1","H1F0"
"HNRNPAB","SRSF1"
