X,RamDA_mESC_72h_A04,RamDA_mESC_72h_A05,RamDA_mESC_72h_A06,RamDA_mESC_72h_A07,RamDA_mESC_72h_A08,RamDA_mESC_72h_A09,RamDA_mESC_72h_A11,RamDA_mESC_72h_B01,RamDA_mESC_72h_B02,RamDA_mESC_72h_B03,RamDA_mESC_72h_B04,RamDA_mESC_72h_B05,RamDA_mESC_72h_B06,RamDA_mESC_72h_B07,RamDA_mESC_72h_B08,RamDA_mESC_72h_B09,RamDA_mESC_72h_B10,RamDA_mESC_72h_B11,RamDA_mESC_72h_B12,RamDA_mESC_72h_C01,RamDA_mESC_72h_C02,RamDA_mESC_72h_C03,RamDA_mESC_72h_C04,RamDA_mESC_72h_C05,RamDA_mESC_72h_C06,RamDA_mESC_72h_C07,RamDA_mESC_72h_C08,RamDA_mESC_72h_C09,RamDA_mESC_72h_C10,RamDA_mESC_72h_C11,RamDA_mESC_72h_C12,RamDA_mESC_72h_D01,RamDA_mESC_72h_D02,RamDA_mESC_72h_D03,RamDA_mESC_72h_D04,RamDA_mESC_72h_D05,RamDA_mESC_72h_D06,RamDA_mESC_72h_D07,RamDA_mESC_72h_D08,RamDA_mESC_72h_D09,RamDA_mESC_72h_D10,RamDA_mESC_72h_D11,RamDA_mESC_72h_D12,RamDA_mESC_72h_E01,RamDA_mESC_72h_E02,RamDA_mESC_72h_E03,RamDA_mESC_72h_E04,RamDA_mESC_72h_E05,RamDA_mESC_72h_E06,RamDA_mESC_72h_E07,RamDA_mESC_72h_E08,RamDA_mESC_72h_E09,RamDA_mESC_72h_E10,RamDA_mESC_72h_E11,RamDA_mESC_72h_E12,RamDA_mESC_72h_F01,RamDA_mESC_72h_F02,RamDA_mESC_72h_F03,RamDA_mESC_72h_F04,RamDA_mESC_72h_F05,RamDA_mESC_72h_F06,RamDA_mESC_72h_F07,RamDA_mESC_72h_F08,RamDA_mESC_72h_F09,RamDA_mESC_72h_F10,RamDA_mESC_72h_F11,RamDA_mESC_72h_F12,RamDA_mESC_72h_G01,RamDA_mESC_72h_G02,RamDA_mESC_72h_G03,RamDA_mESC_72h_G04,RamDA_mESC_72h_G05,RamDA_mESC_72h_G06,RamDA_mESC_72h_G07,RamDA_mESC_72h_G08,RamDA_mESC_72h_G09,RamDA_mESC_72h_G10,RamDA_mESC_72h_G11,RamDA_mESC_72h_G12,RamDA_mESC_72h_H01,RamDA_mESC_72h_H02,RamDA_mESC_72h_H03,RamDA_mESC_72h_H04,RamDA_mESC_72h_H05,RamDA_mESC_72h_H06,RamDA_mESC_72h_H07,RamDA_mESC_72h_H08,RamDA_mESC_72h_H09,RamDA_mESC_72h_H10,RamDA_mESC_72h_H11,RamDA_mESC_72h_H12
Crip2,2.001502276,3.503545082,1.878281677,3.186186808,2.223600487,4.044038125,3.505552074,2.805267326,2.395291478,3.13174095,3.398690355,2.496547449,2.788185028,1.934865509,2.216767543,2.69397801,1.896480945,2.565084347,0.839621482,2.772344483,1.634451145,2.819540643,2.140064655,3.323405073,3.783503901,2.73192353,0.283720731,2.843017188,3.350194587,0.256192427,1.30575615,0.933414804,3.079531301,2.834859512,3.057013137,1.87650103,2.845933261,0.728523731,3.462195626,2.712657,1.532277636,3.667799768,1.441936664,2.22875649,3.270529791,1.97341022,2.049008195,0.403057595,2.254812524,1.115701748,2.387522715,3.568564407,2.787771878,0.569399449,2.306935575,3.580062225,2.767419791,2.060189233,0.138564034,2.645101451,2.499877231,1.754028341,2.19870465,3.246053028,3.097465888,2.151035616,2.090380183,2.477783998,2.503997218,2.262007443,0,2.792214114,3.184804953,2.325804514,2.271640254,1.428428229,1.881053487,1.427459841,2.175193635,2.771975887,3.504168457,1.449996899,1.873707879,3.068334466,2.854315989,2.045714636,3.480451757,3.73732496,2.769295736,2.395856708,2.584139876
Cry1,0.575055702,0.180083139,0.46125543,0.322140741,0,0.240268932,0.213457169,0.475423287,0.077769978,0,0.11503352,0.275802603,0.435309022,0.409010296,0.222747877,0,0.562675158,0.087720473,0,0.258560604,0.403168606,0.490033879,0.198016169,0,0.570031976,0.16758798,0.55867533,0.078018566,0,0.3156226,0.167680584,0.14465551,0.306751984,0.95073473,0.113801982,0,0.401544852,0.177214855,0.5148675,0.016427877,0.105684401,0.755763601,0.237713449,0.118345857,0.015308408,0.139851222,0,0.744437427,0.148225922,0.394628165,0.497898198,0,0.396280647,0.343821839,0.640664359,0.313279359,0.185142868,0.250283705,0.596464407,0.148073857,0.242623038,0.56696471,0.238034292,0.10975386,0.248422181,0.785466727,0.320753539,0.138707946,0,0.31615085,0.353957822,0.233943732,0.168532578,0.174100518,0.487044105,0.362596597,0.12100342,0.59924631,0,0.265511392,0.234890511,0.300138713,0.017642228,0.066001419,0.173338701,0.132265618,0.121307644,0.013873821,0.219459846,0.550430773,0.0680086
Csf1,0.519616711,1.520211076,0,0,0.122399618,1.734499595,0.9005776,0.778848133,0.774090644,0,0,0.044203158,2.058356716,0.557128538,0.154658556,0,0,0,0,0.620934527,0.28808805,0.143203764,0.476113263,0.221812043,0.472048727,0,0.084736243,0.646489113,1.461108054,0.252358753,0,0.866931777,0.177881557,0.292471638,1.101517944,0.133738457,1.202883228,0.550155753,0.130826587,0.140038252,0,0.642672588,0.115356077,0.073831423,0.545691881,0.258228446,0,0.373818593,0.178351943,0.47087572,0.120190924,0.838547124,0,0.223952359,0.354973156,0.071708377,0.645115278,0.065630531,0.406734256,0.704117755,0.409105247,0.41819131,0.568508838,0,0,0,1.226584962,0,0,0.437155274,0,0.618951647,0,0,0,0.284949403,0,0.28602509,0.726636275,0.696474604,0.239577729,0,0.679485141,0.278479118,1.113409199,0.412041244,1.132976614,0.244657202,0.387607535,0.443076768,0
Csrp2,2.018528146,4.594048335,3.212906844,4.621325176,3.291873611,4.827148741,4.895426099,5.451830495,3.793711458,4.103790557,5.447990609,4.304342943,4.037983798,2.575584214,6.446485521,5.130557355,2.295278458,2.156092134,3.316264411,5.016678438,2.330577639,4.770273546,3.933249803,3.990115729,3.958809239,2.517864905,2.300607331,4.514421236,3.833876671,5.669668204,4.778585297,5.138377385,4.027253227,5.674972015,4.099323233,5.349576764,4.399749849,3.366125387,2.760989856,4.102772367,5.487201136,2.304569092,2.861838034,1.286810596,5.329029877,3.599410017,5.252546982,2.661864672,5.010277694,4.314976421,1.215528824,5.870855988,5.481110315,2.538111997,2.744260371,4.685379175,5.223758517,4.453092062,5.81322894,5.981691048,5.864238461,2.0680487,6.0338524,5.638285801,4.98599745,2.10981026,5.641773496,4.437807491,3.56008573,5.05252178,2.361353798,2.477122526,5.177846426,2.254002669,2.792136211,3.03375592,2.91634524,5.713853215,4.160724676,5.738315941,4.11163728,5.208842692,2.981885257,5.131417892,2.734759414,4.957449616,4.22548503,3.910794566,3.973763982,4.922859827,3.40566003
Cst3,4.72941926,4.028950103,4.085847462,4.490279089,4.250945267,4.085397785,4.037117553,4.418067786,3.268216494,4.81279345,4.199485816,4.562604346,4.270265596,5.126351855,4.683493239,3.458656777,4.682938289,5.016502016,3.844066543,4.271997793,4.653523998,3.651544889,4.532900196,3.806321403,3.955580804,5.248236916,4.247049687,3.953235239,3.911045774,3.353574792,4.663473038,4.07720699,4.017877998,4.441549296,4.216651138,4.058751658,4.186143596,4.276796031,4.222822118,4.430622602,5.183272542,4.653236736,4.414290441,3.981972239,3.809235709,4.475183981,4.488846074,4.577348342,4.094039101,4.27605178,4.489469297,4.416401948,4.379358648,4.297200892,4.348127722,3.741240583,4.064106884,4.142695042,4.309335683,4.615653971,3.902846931,4.458232487,3.864513674,3.697196216,4.71730701,4.721726521,4.524001839,4.025971734,4.97037485,4.299841506,4.525746696,4.575558796,3.909576442,4.414664315,4.46618021,3.631580482,4.226357604,4.041565349,3.845697798,4.351551797,4.106022654,4.447930799,4.654207069,4.26128648,3.761528923,4.189502611,5.017046461,4.254738993,4.146987205,4.614490002,4.645259572
Ctbp1,1.854570949,2.949049201,2.039924812,2.89340074,2.274025447,2.54795395,2.999256269,2.405537227,2.515560881,2.610308251,2.758051529,2.510323175,2.504713005,2.87664384,2.589786779,2.60279186,2.995020087,1.72201487,2.0742763,2.146191527,2.366726282,2.456686025,2.341072887,2.26892049,2.539291724,1.92640566,1.964395187,2.800964596,2.385859395,2.611430182,3.003090176,3.132544737,2.301826431,2.181351044,2.642080706,2.335135162,2.374654367,2.120890227,1.789597105,2.34732194,2.459362144,2.647973359,2.825932051,2.649353855,2.539111294,2.154258268,2.971209035,2.931052066,2.831601481,2.241351449,1.885118993,2.308917966,2.587198084,2.276756779,2.404329761,2.489547969,3.07345062,2.694144775,2.087645096,2.942728277,2.250288507,2.707804592,1.996940662,3.01709083,2.608057182,2.751481482,2.408384541,2.320180537,2.567905171,2.184266607,2.275672969,2.155848465,2.040130404,2.760267504,2.494657449,2.601120805,2.938093065,2.452288763,3.010458995,2.376275348,2.903766661,2.128223588,2.218112429,1.638086371,2.612964936,2.644120915,2.429764233,2.06117428,2.710417289,2.193888917,3.038914557
Ctbp2,2.079409217,1.993164272,1.769383968,2.351335958,2.24540538,2.730620497,1.905355332,1.674445761,1.135576266,2.580776073,1.94296454,1.872714393,2.092543948,0.154509815,2.41067838,2.67668751,1.994324017,1.274886917,1.669596018,1.416337788,1.330952451,1.002106707,1.823000058,2.51450382,2.022221396,2.526578875,1.288401117,2.316150014,2.856828023,1.226907616,1.528589181,1.718617018,2.451284639,0.678439145,2.288832508,1.729049742,1.409865254,1.752703003,1.837770744,2.620035182,2.1194093,2.228898108,0.898742827,1.273987714,2.494768208,1.458744796,2.14240304,2.706764052,1.875890883,2.036732659,2.326001261,2.160641542,2.006109017,1.265359904,1.551574917,2.436548194,1.763058816,2.310002928,1.818452521,1.094160799,2.492642047,1.652488381,2.130327418,3.142116028,2.010803287,1.379792801,1.35372315,0.834227078,2.490930327,1.574691594,2.400527996,2.492741142,1.783199528,1.477080336,2.076960745,1.855813536,1.490975934,1.584845795,2.425351974,1.385688243,2.038828461,2.655275112,1.68341842,1.744460954,2.103861893,2.444754362,2.293129857,1.788968458,1.636379905,1.685546488,2.232378799
Ctcf,2.33961136,2.039927754,1.971928891,2.075910412,1.848741308,2.081990052,2.046042178,1.629497664,1.987980317,1.919045559,2.425102656,2.217863398,2.404016654,2.187574072,2.181786567,2.194175562,1.505462468,0.99993582,1.679505903,2.129043711,2.440842731,2.047407527,2.384742619,2.345069348,1.89368591,1.937007245,2.362519841,2.169791342,1.512389946,1.38102384,1.467257838,2.514851779,1.567986829,1.345573954,1.998456607,1.476425228,1.546656273,1.847660793,2.389263699,1.09718838,2.151706398,2.049905102,2.191211069,1.515492093,1.952784572,1.948752049,2.088875405,2.047440985,2.302654976,2.457432279,1.869991796,1.959032211,2.011871226,1.356656553,1.953462531,1.307049436,2.00531593,2.044997168,1.642780058,2.385834347,2.356378105,1.497147762,1.086455707,1.633045299,2.277379693,0.764081932,2.100471863,1.988047522,2.400160353,1.782910956,1.696022582,1.281339872,2.001514788,2.105914017,1.969454789,1.747301903,1.925466376,1.981175332,1.936514648,1.878093946,2.255449302,1.2867076,2.034352695,1.084561335,2.530189101,1.938071306,2.116451924,2.054322345,1.592719612,2.346406589,1.948890648
Cth,0.296426815,0.099834474,0,0.099772833,0,0.181782758,0.25058057,0.26309841,0,0,0.219110244,0,0.404815572,0,0.205277094,0.082291558,0,0,0.212643554,0.090373322,0,0.502856597,0,0.19143943,0.573175825,0,0.606383143,0.312756192,0,0.141253608,0,0.195209064,0,0.09649644,0.098247608,0,0.298979823,0,0.251786456,0.109244756,0,0.598563556,0,0,0.415671186,0.288921689,0.195816971,0,0.452371507,0.119770602,0,0.161245352,0,0.081021814,0,0.537633855,0.076034876,0,0.02551702,0.630350934,0.306609824,0,0.526309881,0.084510724,0.09022555,0,0,0,0,0.169491488,0,0.05428855,0.14397113,0.345363496,0,0.244705753,0.080834638,0.066573638,0.384740253,0.74313188,0.240311388,0,0.523699879,0.113131172,0.088235336,0.604519066,0,0,0.182351138,0,0.160607868
Ctnnb1,3.87085931,4.9546228,4.942537273,4.899141773,4.610952187,5.069382552,4.559519215,4.730672223,4.672467098,4.155104917,4.392624879,4.608380672,4.7326567,4.61098212,5.025888054,4.1328726,4.818617959,4.1281066,5.048052763,4.695290994,4.56899048,4.487523071,4.247386167,4.658692307,5.037461391,4.448331296,4.634343833,4.663182697,4.78445548,4.702850236,4.772302838,4.370152781,4.917273473,5.177889826,4.65928284,4.105014235,4.85507164,4.352262369,4.272550295,4.518330297,4.502432187,4.587637194,4.788867838,4.071486081,4.758971608,4.539354836,4.709434607,4.782865585,4.761643222,4.225367102,4.345291608,4.521027836,4.719385387,4.921872968,5.124923594,4.671537091,4.779791116,4.583297422,5.01862593,4.783357082,4.560230398,4.655382527,4.968934172,4.95446474,4.712364713,4.301905023,4.813344416,4.735351599,4.607564469,4.256980821,4.675015291,5.127913799,4.621204667,4.199649398,4.582294746,4.532315367,4.937234308,4.528780297,4.69325856,4.887304902,4.41747319,5.005043126,4.673548752,4.400733705,4.530891126,4.177893012,4.583830007,4.499928537,4.564324162,4.742705427,5.045816778
Ctnnbip1,1.09077189,1.603625142,1.197986303,0.623990964,1.274241616,1.541398971,0.889183253,1.554248452,1.151798528,1.242359195,1.601507465,1.473564598,1.371308865,0.997809716,1.560711312,1.242617976,1.091486353,0.713015082,1.174164311,1.737695367,1.460896144,1.1732732,1.160536002,1.525464113,1.412013485,1.156826205,1.537328539,1.015496767,1.866790487,0.948754796,1.271990331,1.979189861,0.952901557,1.3479325,1.583592051,1.230720861,1.535385374,1.48654456,0.87565468,1.225009822,0.949766437,1.574608814,1.42162032,1.076865283,1.588494972,1.376410526,1.177026235,0.997049185,1.688583578,1.526188056,0.870097348,1.222754256,1.262148723,1.718929533,1.369009248,1.416998917,1.378132599,1.031997973,0.791527627,1.573654873,1.755631305,0.586910836,1.113695144,1.500309147,1.335775051,1.180294212,1.280469422,1.567795093,1.65537554,0.389176297,1.404571946,1.61845314,1.86469215,1.445702193,1.365767676,1.265805391,1.434629414,1.766956339,1.580901125,1.920741644,1.806168935,1.064439097,1.376695061,1.457621505,2.154331598,1.335091583,1.479702166,2.091006401,1.758319915,1.415445276,1.757179228
Ctnnbl1,2.702080857,1.537047095,2.10594692,2.291492493,1.366003515,2.457172988,2.281134932,2.715768139,1.896875967,2.010767911,1.933735002,1.896049332,1.263176605,2.428269487,2.326624469,1.42857686,2.233938652,1.759188351,0.561804784,1.066875972,2.50859003,2.046886599,1.276865033,2.006788488,2.875468385,1.309068069,1.93981521,2.02576043,1.884468514,2.123382232,1.44324388,2.222213572,2.014379335,2.544130519,1.998863949,1.575099514,1.531789383,2.53967337,2.141856827,1.650405376,1.692034606,2.070226632,1.946338778,1.7376995,1.768664533,1.922710569,1.789345992,2.570474212,2.436594337,1.883759213,2.363913958,2.385801352,2.065281858,1.639858354,3.048898512,1.673498128,2.513046928,1.726292378,2.541957904,2.10256419,2.559824632,1.922163206,1.639811474,2.461743477,2.359423007,2.170758113,2.502283786,1.968248478,1.460906223,1.922862418,1.492448322,1.403680108,2.120634112,1.753393353,1.374842108,1.727775056,3.040992601,2.290033932,1.497553497,1.676170542,2.366655598,1.895359181,2.03247307,1.331254773,2.372170383,1.643360505,2.019423031,2.190787981,1.93449495,2.660788874,1.979732785
Ctsa,4.262131145,4.019046422,4.081899607,2.346728039,4.013109035,3.128885214,4.033711202,3.741219274,4.176701498,4.632682882,3.218501525,5.433554657,3.608517988,3.130003091,3.559765413,4.233905412,3.726127642,5.12011206,5.262780856,3.446437311,3.527228434,3.764155105,3.479589998,2.831342444,3.342439143,5.286119648,3.469390695,2.439689171,2.613840504,4.670889954,4.921832859,3.264681111,4.304964625,3.958673696,3.457905988,2.995611904,4.000201274,3.936365713,4.580804967,4.320665876,5.336219707,3.320936864,4.711757967,4.146311483,3.179999807,4.15670541,4.511806273,4.126835889,3.750498901,3.229145209,4.568466034,4.403766962,4.070140808,5.430763981,3.740541507,3.233655289,2.7039645,4.116896927,3.637735878,3.332250426,3.642092208,4.476346561,4.10493787,2.979504953,4.04022695,4.067678182,3.636591831,4.284833599,4.008786076,3.140305209,4.498406425,2.807503299,3.048059238,3.90739848,3.291274299,3.613176261,4.367438623,4.170715096,3.653646582,4.363757969,3.491153052,3.828429815,4.118352004,3.264831737,3.780297928,4.297804684,3.237305696,4.010287946,3.807528819,4.555425861,3.76961232
Ctsd,5.477454001,4.510749673,2.566760634,3.713554225,3.834577716,3.776508562,4.201672326,4.257299285,4.925314918,4.281524992,3.09596706,4.904695406,5.14816013,3.513069503,3.693974533,4.101710567,3.657502529,4.799833227,5.337259993,4.892734429,4.534498192,4.224375218,3.828974854,4.046595895,4.210534005,4.962764912,4.803985243,3.991047574,4.62843609,3.521978133,4.932964606,4.745426807,5.220336709,4.884079644,3.486609385,3.452997692,3.989009423,4.082508146,4.201741746,4.315042745,3.588318479,3.338437042,5.28301234,4.714679952,2.728944745,4.933750929,4.566637872,4.710572824,4.874598607,4.307470602,4.027875396,4.296045598,4.690270696,5.297192571,4.047651962,3.634358175,4.697484379,4.491184499,3.03603256,3.676452998,2.882038283,3.218708744,4.141869069,3.802964007,4.468404701,3.399120465,4.703549026,4.8972,4.202815587,3.659722968,5.142219036,3.618040491,4.454958738,4.691015315,3.992648125,4.360090213,4.497868397,4.791807011,4.068592331,5.503717665,4.900798582,3.868031075,4.222670546,4.29453501,3.20715479,4.15957665,4.252155135,4.586207312,4.412397205,5.215113347,4.558113032
Ctsl,4.792795012,4.544511147,4.770211327,3.836434758,4.279870618,3.845196766,4.294053996,4.657899256,5.323429888,4.923024695,4.638181496,6.061003338,4.523438342,4.065191253,5.441811267,4.157138585,4.599041885,6.169050002,4.808724527,4.195993894,5.167328462,4.736264496,4.564570832,4.396247674,4.072201522,6.440770932,4.603557239,3.782343716,4.45119038,5.235063852,5.290248609,4.733801784,4.819543773,5.114899605,3.993996486,3.975678709,4.210921465,4.5422962,4.583953608,5.131271368,4.742306051,3.910339709,6.08478247,5.418067792,5.008563078,4.236241265,4.398143423,4.241687905,4.126301703,4.562435893,4.803766378,4.726837233,4.142123576,6.69850171,3.965097603,4.751104595,4.211268697,5.006381198,4.933112712,4.314235283,4.281085632,5.147772271,5.023416071,3.872748593,5.088510978,6.521723743,4.170954568,4.756988078,4.679146857,4.043221698,4.341195703,4.900447814,4.227723023,4.529773876,4.873439883,4.251883135,5.204956156,4.585647942,3.755591107,4.824399748,4.69345227,4.615853918,4.507234745,4.677202671,4.127877564,5.1070146,4.6595995,4.550513264,4.644972539,4.911795578,4.418687422
Ctsz,3.792945589,3.155381466,3.446496688,3.43456888,2.567034406,3.547137018,3.281494,3.026841532,3.532761515,4.401066427,2.910012172,4.649697229,3.400507255,3.446015859,4.279644367,3.526670102,3.784071693,4.842348352,3.182987711,3.529459883,3.09898958,2.869255456,3.493851224,3.663548941,3.470509286,4.967307902,3.045417294,3.043442553,3.092270508,2.967461632,4.091795434,3.208998813,3.577545244,3.789519868,3.198724764,2.733078223,3.255869373,3.361883731,4.031702603,3.958207929,4.038401438,2.74646428,5.093270661,3.096131276,2.633326354,3.787868218,3.952999178,3.055822583,3.42096763,3.638390548,3.465039802,3.749588098,3.98327486,4.403042922,3.650035611,3.557082652,3.524650438,3.215888566,3.086036391,4.160955728,2.885321741,4.327372978,3.081881197,2.913820086,4.467692019,4.23557573,3.173575683,4.080739541,3.150338025,2.105776269,3.297853151,2.97177804,2.147578615,2.799940168,3.201436818,3.474880916,4.063758594,3.273480992,2.832958802,3.738837233,3.92302903,3.309299957,3.55076253,3.702674165,2.731349899,3.170725411,4.263836105,3.627469372,3.127010911,3.912818266,3.045540099
Cubn,2.254646245,0.421266011,4.388983285,0.489371702,0.981967755,0.698233928,0.116506359,0.433084461,1.648516903,3.359231061,0.283104116,4.767762777,1.195274533,4.614340257,2.362503815,0.453599042,4.51112192,5.036309889,1.149062444,0.320553483,3.44103514,0.356190217,1.814968539,1.338106532,0.271298655,4.731534343,0.056625078,0.856906208,0.488717397,0.688644071,1.498070148,0.634942458,0.159126351,4.211451083,2.283613975,1.656673524,0.03622803,4.211487103,4.467916798,0.935847726,4.270894256,0.948938917,4.75823569,0.353101892,0.189916312,2.321134849,2.009607868,1.719035195,1.23405881,1.076233181,2.848302018,0.153640754,3.253623267,4.070319287,0.732223757,0.190115422,1.714722483,1.062386008,1.165122674,0.294760469,0,4.271747652,0.060503751,0.618742975,2.913047205,5.197780655,0,0.871234821,1.64309199,0,2.075559977,2.41387505,0.294388928,2.719813428,2.896854847,0.172178875,2.721119655,0.371092035,0.075319454,0.637510727,1.909022841,0.415864439,2.694769459,0.20487041,0.260522164,0.41759969,3.196867564,1.808628257,1.650188794,3.10375484,1.070185638
Cux1,0.620070517,0.377531032,0.369663595,0.526756901,0.541044074,0.630427235,0.314035854,0.66899523,0.657290297,0.377744935,0.489075114,0.789919075,0.662475427,0.392281088,0.491938487,0.881748696,1.011605545,0.82211084,0.611294854,0.252313788,0.862993159,0.449164945,0.454432381,0.435394033,0.398767131,0.393918059,1.060333944,0.306224243,0.4512495,0.429481637,0.827538733,1.114810433,0.685372513,0.390545213,0.630659421,0.430302638,0.524087107,0.476985204,0.761212732,0.905150515,0.74187721,0.755573651,0.629358775,0.244690936,0.350082395,0.625253164,0.538347258,0.75502794,0.353900154,0.259408584,0.587634784,0.376407799,0.886918025,0.73176038,1.403256117,0.534077264,0.291609561,0.7402339,0.999185863,0.590864982,0.623067503,0.831131917,0.575801217,0.747614866,0.46511013,0.792814795,0.641839165,0.885217049,0.560786715,0.791335585,0.883602026,0.453562955,0.780019953,0.465310598,0.510931332,0.411825275,0.579006851,0.639887117,0.689904678,0.03716059,0.358549949,0.059518436,0.533722043,0.521577122,0.670214699,0.590044706,0.493463631,0.837363278,0.256078502,0.377609761,0.414844729
Cux2,0,0.005704307,0.108196343,0.187507193,0.197986535,0.241629347,0.213758818,0,0.276479144,0,0.004354612,0.160858559,0.004619133,0.198165804,0.005253932,0.01415508,0,0.152376321,0.028710865,0.010276939,0.191138062,0,0.063673841,0.356777515,0.025710666,0.070009732,0.077897376,0.004372992,0.044407461,0.143308249,0,0.237181734,0.009862515,0,0.004843578,0,0.022147269,0,0.235168207,0,0.062167735,0,0,0,0,0.130341389,0.125933575,0.004830672,0.066284706,0.183600128,0.004633202,0.516538153,0.152491979,0.157988671,0,0,0.131189196,0.008930938,0,0.09686101,0.139612223,0.135009764,0.004981454,0.123710788,0.073856304,0.218037593,0,0.26343423,0,0.079510483,0.621451041,0.107276943,0,0,0,0.008364092,0.076209211,0.251908925,0.089960821,0.005959867,0.189759283,0.01483665,0.096578592,0,0.005022295,0.005036164,0,0.099836064,0.207074618,0,0.144579724
Dab2,4.317800551,4.530418896,4.937199348,4.842017795,4.803254243,5.149361511,3.730658031,4.579985927,4.168092589,4.429102195,4.464585505,5.497310257,4.533667188,5.283083193,6.078354171,3.509361623,5.696661876,4.84034534,4.153609215,3.635183708,4.188250877,4.188295044,3.448254841,3.14379263,3.889725217,5.087851801,3.711705929,3.987877168,3.81162771,3.085058666,3.72938296,3.053466602,4.418279768,4.952599869,3.961024496,4.520004965,4.336018068,4.110103762,4.831496055,3.74768128,4.441479751,4.468904943,4.756717826,4.973356883,4.403392924,4.138393101,4.420981653,3.726702718,4.107322651,3.570629198,4.5257731,4.354095608,4.134321554,5.344570629,4.589371188,3.427531911,4.310364481,3.313869084,4.697791421,4.360687888,3.9251948,5.421019665,4.442610919,3.635889896,4.036508475,6.116622282,3.638209101,3.094734165,4.196159775,3.605043937,5.236885516,5.264190982,4.072787205,3.766487891,4.553105947,3.306314275,3.669814974,3.133786976,3.6046639,4.280916894,3.686382272,5.021109749,4.762215517,4.620614624,3.944586334,4.356652334,4.614210082,3.837492175,4.432971506,4.17315235,4.400092722
Daxx,0.963981359,1.609995781,1.265189657,1.303560065,1.601336525,1.17059259,0.747952964,1.443923945,1.408190932,1.318120959,1.475272647,1.179499102,1.079617033,1.987409747,1.33550482,1.46366225,1.375387609,0.628927014,0.620836174,1.698242658,1.017106996,1.447979025,1.467933253,1.521483187,1.391716688,1.095915775,1.239312541,1.560520301,0.811055912,1.326581482,1.732189718,1.571998467,1.949970215,1.305625097,1.272564811,0.512352609,1.638694435,1.639189234,1.434007672,0.415377486,1.192052143,1.441264753,0.913461782,1.151022551,1.061718526,1.147790717,1.990408377,1.036024116,1.199716894,0.828810535,1.569979665,0.777705469,1.227038048,1.178525572,1.124729607,0.578454099,1.64668835,1.108158353,0.653633826,0.694644085,1.370481145,1.429564463,1.26379898,1.482832836,1.16953761,0.802537168,1.063561912,1.422813357,1.028837441,1.642968389,2.089668183,1.234671603,0.911567347,1.495826392,1.344021146,1.144922322,1.29266838,1.183483284,1.15722305,1.165740482,1.386941887,1.677445724,1.099560355,1.169673087,1.798458849,1.256997329,1.178186699,1.427738752,1.102522048,0.768522626,0.746752426
Dazap2,1.499335886,1.837148246,1.4263669,1.637365876,1.953169663,1.246223928,2.086464165,1.800637552,1.384310444,1.657903835,1.728779679,2.175880854,1.364443206,1.471369341,1.614137894,1.317567347,2.131520545,1.410641488,1.226971412,1.826995195,1.777439853,1.701505123,1.581182456,1.006314873,1.767759488,1.624232049,1.510893812,1.482995613,1.467418622,1.584749301,1.85164507,1.657181131,1.371144522,1.581334971,1.914611654,1.543999703,1.53360088,2.049186188,1.355458975,1.678136189,1.831024088,1.706741791,2.152094086,1.491890414,1.480753797,1.645634409,2.093030128,1.813439121,1.958763101,2.24050922,1.562301977,2.036827425,1.474127102,1.670552477,1.29877546,1.249044891,1.610693474,1.373084494,1.821497768,1.902334397,1.882058423,0.976085294,1.874392114,0.923617694,1.868142433,1.701185207,1.05474064,1.469120687,1.36793233,2.016820063,1.173436949,1.313482268,1.202984532,2.119606887,1.616747926,1.286118191,1.955002099,1.93146489,1.999140366,1.536878204,1.45743852,1.994154728,1.38870875,1.321286115,1.809101496,1.781280041,1.973825367,1.324939857,1.061627793,1.726550092,1.554939937
Dcp1a,0.929533438,0.622947315,0.39051979,0.818030661,0.560575537,1.0118029,0.767031811,0.668136332,0.386418228,0.850107416,1.014748138,1.114792662,0.905686894,0.610105242,1.161870248,0.886824724,0.741556309,0.787296771,0.794009652,0.657449476,0.936945915,0.73722577,0.882918001,1.049132883,0.85943081,0.683022938,0.868326254,1.222061025,0.625933446,0.755172546,1.138723551,0.780562396,0.710922038,0.951001074,0.942476777,0.421067644,0.930141457,0.965987516,0.836252634,0.465063155,0.563875511,0.956263425,0.901931611,1.081290551,0.737781928,0.881073603,1.162542224,1.109522769,0.845610821,0.913881163,0.767658119,1.136561445,1.058266326,0.612281893,1.083745668,0.861159038,0.905688117,1.33316262,0.753858072,1.10342836,1.078435472,0.593732682,0.640790542,0.678608413,1.062481318,0.677867792,0.878863117,0.799573459,1.059400733,0.926340876,0.830942924,0.647011778,0.728727327,0.488306569,0.593640131,0.855778778,1.043071999,1.065955017,0.854204103,1.150804425,1.282133691,0.791367081,2.51E-07,0.953069422,1.268696723,0.84745866,0.616856846,0.955153958,0.551477593,1.051841688,0.497735488
